cluster_id,text,count,sustainability_class
0,Insurance programs and tax incentives for flood risk,715,PS
1,Preserving natural lands for flood management,447,S
2,Continuous monitoring of fishways to optimise restocking practices,1536,S
3,Increasing restoration funding,79,S
4,Implementation of measures to mitigate the risk of floods in identified dangerous areas,1031,NS
5,Community planning for disaster risk management,1493,S
6,Cap-and-trade system for carbon emissions,549,S
7,Collection of social and economic data to enhance vulnerability assessments,580,NR
8,Implementing appropriate coastal management strategies,1705,NS
9,Targeted support programs for digitalization in the agricultural sector,683,S
10,Establishment of online learning platforms in remote areas,962,NR
11,Measures to reduce greenhouse gas emissions,1136,NS
12,Analysis of consumer perceptions and purchasing choices,141,NR
13,Development and improvement of ICT development policies,260,S
14,Increasing the share of renewable energy in electricity generation,567,S
15,Integration of renewable energy sources in buildings,142,S
16,Reevaluation of the recommendation to increase self-motivation competencies in students,609,NS
17,Incentives to improve physical education teaching,1063,NR
18,Supporting coaches and peer leaders in the promotion of athletes’ well-being and reducing ill-being,1044,NR
19,"Consider the impact of family structure, birth order, personality, and socioeconomic status in future research to obtain better results.",754,NR
20,Appropriate sport and PA offerings for disabled persons,261,NR
21,Future studies can be expanded to multiple regions and a larger sample size.,2882,NR
22,Management strategies that discourage increases in other ungulate populations,1098,S
23,Establishment of vulture-safe zones,1529,S
24,Protecting forest habitats of birds,258,S
25,Governmental support for organic farming,1459,S
26,Shifts in wood use,1305,NS
27,"Provision of shades, sprinklers, ventilation and evaporative cooling to reduce heat stress in dairy animals",372,PS
28,Implementation of effective measures to restrict NH3 emissions,565,NS
29,Strengthening groundwater monitoring,1169,S
30,Addressing flaws in current monitoring procedures,692,S
31,Avoid construction in regions with significant subsidence,372,S
32,Expanding rainfall monitoring networks,1097,S
33,Standardized reporting of the simulation model,259,PS
34,Detailed planning in water consumption management,520,NS
35,Implementing underground water recharge methods,720,S
36,Promoting the innovation of key technologies for hydraulic fracturing activities,1157,NS
37,Ensuring wise use of wetlands,2130,NS
38,Mass education on water purification and treatment,1196,S
39,Eco-labeling and green certification.,496,S
40,Harmonisation of standards at a national and international level,844,S
41,Regulated fishing practices,1215,NS
42,Extension services to improve farm management in the aquaculture sector,2490,S
43,Adjust fish consumption advice and monitoring efforts to be more protective of human health,991,S
44,Cost and benefit evaluation for economic aspect assessment,759,S
45,Establishment and enforcement of credible food safety standards,1580,PS
46,Reduction and elimination of import tariffs,1403,NS
47,Investment in port infrastructure to influence the sustainable economy of concessioned ports,1966,S
48,Creating an economically-enabling atmosphere for algae cultivation,766,S
49,Enhance domestic production to reduce import dependency,546,S
50,Establishment of the AFTA agreement,1402,NS
51,"Empowering fishermen through access to capital, training, and institutional strengthening",1505,S
52,Implementation of an ecosystem based fishery management,1452,S
53,Total fishery prohibition in specific zones and periods,1588,NS
54,Treatment of non-tariff measures in trade agreements to ensure efficient policies,1058,NS
55,Investing in infrastructure,939,NS
56,Expanding access to certification schemes.,332,S
57,Market stability scenario for water allocation.,1061,NS
58,Methane abatement strategies,672,S
59,Implementing meat inspection in slaughterhouses and meat selling centers.,608,NR
60,Improve post harvest handling,1238,S
61,Capacity building to ensure satisfactory potato growth and yield,715,S
62,Proper storage of harvested grain to reduce risks associated with storage pests,323,S
63,Incentives for horticultural product exports,232,NS
64,Fostering regional collaboration,1272,S
65,Organic certification standards and processes,867,S
66,Government intervention in beef and veal trade,508,NS
67,Integrating crop-livestock system,318,S
68,Incentives for a more versatile food supply chain,415,S
69,Facilitate market access for farmers,1026,S
70,Improving access to the market,528,S
71,Promoting local food production,1055,S
72,Consumer education on the benefits of organic products,626,S
73,Development of a regional branding for agricultural products coming from GIAHS sites,346,S
74,Support labour-intensive development programs to stimulate capital formation,4,NR
75,Incorporating predictive vegetation modeling and crop yield forecasting.,829,S
76,Production and consumption subsidies,1193,NS
77,Cost-effectiveness analyses for farmers,248,PS
78,Implementing responsible pricing policies,763,S
79,Targeted support for smallholder farmers,475,NS
80,Conservation of biodiversity in agricultural landscapes,672,S
81,Implementation of agri-environmental schemes,636,NS
82,Provide technical support to farmers to help them adjust practices,406,NS
83,Control over GHG emissions in agriculture,668,S
84,Increase in soil organic carbon reserves,898,S
85,Funding interventions to reduce emissions in livestock farming,810,S
86,Intensive management of grasslands,1348,NS
87,Implementing strict grazing control,1315,NS
88,Support for agro tourism to promote sustainable development practices,1282,S
89,Sustainable agricultural intensification,372,NS
90,Encouraging farmer participation in decision-making processes,384,S
91,Development and effective utilization of feed resources,1538,S
92,Constraints imposed by the regulatory environment on pig production,655,S
93,Organic farming practices,106,S
94,Reducing use of fertilizers and pesticides,1014,NS
95,Agricultural subsidy regimes,796,NS
96,Common Agricultural Policy (CAP) determining objectives of European agriculture and rural communities,1735,NS
97,Direct (compensatory) payments to farmers,283,NS
98,Redistribution of land,1120,NS
100,Deployment of Carbon Capture and Storage (CCS),2396,NS
101,Carbon tax of 100 €/ton,768,NS
102,Legislation and regulation for the conservation of wild species,606,NS
103,Strengthening the extension system and approaches to improve technology adoption among farmers,748,S
104,"Investment in rural infrastructure, including better roads and transport",1306,NS
105,Stimulate the development of irrigation systems,1235,NS
106,Implementation of rigorous soil and water conservation measures,1182,S
107,Facilitating investment into agriculture,467,NS
108,Providing subsidies to farmers,914,NS
109,Application of heavy thinnings in forest management,1225,NS
110,Strengthening capacities of seed producers living in the producers' immediate environments,1497,S
111,Expanding the area of forest plantations,778,NS
112,Smart irrigation parameterisation which includes spatial and temporal variations in irrigation practice,980,S
113,Integrated risk management approaches,962,S
114,Rational management of construction and demolition waste.,1145,NS
115,Periodic programming and improvement of action plans for construction work execution,1043,S
116,Community and government participation in waste management,1408,S
117,Support for Member States by the EU,1402,S
118,Adoption and observance of international human rights standards by states in their law-making and law-enforcing activities,1957,NS
119,Community engagement for developing sustainable conflict mitigation strategies,1304,S
120,Treatment and disposal of ballast water,484,S
121,Application of sediment quality guidelines,194,PS
122,Regulatory measures to address microplastic pollution,1538,NS
123,Distribution of free and subsidized food,970,S
124,Provision and encouragement of personal protective equipment use,1140,NS
125,Targeted environmental management and community engagement in vector control strategies to better control Ae. aegypti populations and mitigate the risk of mosquito-borne diseases,2054,S
126,Regulating constructions with building codes,862,NS
127,Adoption of effective prevention strategies for dust control,810,S
128,Enforcing regulations on waste management,1416,NS
129,Guidelines to combat arsenic contamination,258,NS
130,Update tsunami evacuation plans to reflect changes in tsunami scenarios and arrival times,306,NR
131,Fiscal adjustment policies,822,NS
132,Implement policies supporting the efficient use of oil revenues,2083,S
133,Integration of oyster reefs with other ecosystems to enhance oyster culture and larval supply,418,S
134,Increased monitoring efforts and standardization of sampling and analysis to mitigate adverse effects of cyanobacterial blooms.,759,S
135,Shifting from coal-based basic oxygen furnace to electric furnaces in steelmaking,667,S
136,Incorporation of thermal insulation in the envelope,1876,S
137,Measures to reduce nutrient enrichment,1129,S
138,Responsibly managing manure,1141,S
139,Implementing effective nutrient management strategies,598,S
140,Retention of crop residues,817,NS
141,Introducing no-till tillage practices,2026,NS
142,Use of cover and catch crops,768,S
143,Reducing N fertilizer use in the study area,1033,NS
144,Water Framework Directive (WFD) in the European Union,1179,S
145,Minimum requirements for thermal performance of buildings,670,S
146,Integration of indicators for a comprehensive assessment of environmental impact.,274,S
147,Regulation of nitrogen application rates,814,S
148,Implementation of well-regulated surface water runoff systems on slopes,211,S
149,Maintaining water distribution infrastructure,910,NS
150,Comprehensive watershed management,646,S
151,Implementing biological control methods,924,NS
152,Flood forecasting and early warning systems,882,PS
153,Investigation of the effectiveness of the Modclark model in more watersheds of the country,960,
