title,abstract,studied_sector,year_of_publication,doi,extracted_data
Management of Sustainable Consumption of Energy Resources in the Conditions of Digital Transformation of the Industrial Complex,"The purpose of the article is to study the dynamics of volumes and stability of the structure of energy resource consumption at manufacturing enterprises, the analysis of the technical readiness of energy systems to implement the ideas of digital transformation. As the main research methods used in this article there are the method of dipole energy analysis to determine the priority of types of energy carriers, the method of graphical visualization of data to find the release points of values from the zone of relative stability, the method of classifying objects to assign products to a group of objects on the level of energy sustainability. The article analyzes the current trends in energy consumption with the determination of the vector of sustainable energy consumption and the parameters of reserves for improving energy efficiency; prioritized separate types of energy production of petrochemical plants; the types of products were classified according to the level of sustainability of energy consumption with the establishment of control points having emissions of values from the zone of relative stability and unproductive consumption of energy resources; the high technical readiness of energy systems of manufacturing industries to automate production processes with the subsequent development of digital technologies has been proved.","['Manufacturing', 'Electricity, gas, steam, air conditioning']",2020,10.32479/ijeep.10202,
Investigation on Combined Inhalation Exposure Scenarios to Biocidal Mixtures: Biocidal and Household Chemical Products in South Korea,"Global regulations of biocides have been continuously enhanced for protecting human health and the environment from potentially harmful biocidal products. Such regulations consider the combined toxicity caused by mixture components in a biocidal product of which approval and authorization are to be enhanced. Although the combined exposure scenarios of components in mixtures are firstly needed to conduct the mixture risk assessment, systematic combined exposure scenarios are still lacking. In this study, combined inhalation exposure scenarios of biocides in household chemical and biocidal products marketed in South Korea were investigated based on the European Union (EU) and Korean chemical product databases and various data sources integration. The information of 1058 biocidal products and 675 household chemical products that are likely to cause inhalation exposure with two or more biocides was collected, and mixture combination patterns were investigated. Binary mixtures occupied 72% in biocidal products. The most frequently appearing binary mixture was phthalthrin and d-phenothrin. Based on the frequency of use, we suggested a priority list of biocide mixture combinations which need to be firstly evaluated for identifying their combined toxicity for the mixture risk assessment. This study highlights that the derived combined inhalation exposure scenarios can support and facilitate further studies on priority settings for mixture risk assessment and management of potentially inhalable biocides.","['Manufacturing', 'Household employment, goods/services for own use']",2021,10.3390/toxics9020032,
PI制御器による分散型電源の負荷追従制御,"Recently, there has been growing interest in utilizing dispersed generation systems, which are grouped into micro turbine systems, co-generation systems, etc., as a substitute for fuel oil energy and a technology to prevent a global warming. Since start-up time of dispersed generation systems is short, it is possible to operate systems to supply load power corresponding to a demand. Moreover, PPS(Power Producer and Supplier) can participate in power retail sales company, since deregulation of electric utilities has been started from 2000. However, PPS have to keep instantaneous generating power commissioning rule, to maintain supply and demand balance between customer and supplier. Therefore, in this paper, we examine instantaneous generating power commissioning for dispersed generators that start-up time is short and is possible to operate systems to supply power load corresponding to a demand. We adopt a PI controller as a controller. The system is composed of double control loop in inner loop and in outer loop. In inner loop electric power are controlled and in outer loop electric energy are controlled. The controller parameters are designed with using the pole-placement technique. The effectiveness of the proposed control system is confirmed by simulations.","['Electricity, gas, steam, air conditioning']",2002,,
Multi-level effects of human resource bundles on the performance of aging employees,"Previously, scholars have studied the need for implementing different human resource (HR) configurations that foster aging employees' outcomes, but there is a lack of evidence at the group level. Using the framework of Social Exchange Theory, coupled with the Selection, Optimization, and Compensation theory, we examine associations between bundles of HR practices, age (measured both as calendar age and proportion of an aging workforce), and performance, at both the individual and group levels. First, the outcomes of our multi-level analysis show that bundles of maintenance-enhancing HR practices are positively related to performance at both levels, whereas bundles of growth-enhancing HR practices associate with performance only at the group level. Second, age relates positively to performance, both at the individual and group levels. At the group level, there is an inverted U-shaped relationship between the proportion of an aging workforce and group performance, such that a group's performance benefits from the participation of older employees up to a maximum proportion of 56%. Finally, age negatively moderates the association between growth-enhancing HR bundles and performance at both the individual and group levels. Results highlight the value of older employees for working organizations, and the importance of adopting HR practices that consider maintenance and growth-related needs across the life-span, while also providing useful theoretical and practical implications for Human Resource Development scholars and professionals.","['Professional, scientific, technical services']",2024,10.1002/hrdq.21501,
IT2 Fuzzy-Based Multidimensional Evaluation of Coal Energy for Sustainable Economic Development,"The aim of this study is to determine the impact of coal energy on the economic development of countries. For this purpose, similar studies in the literature have been examined and nine different criteria have been determined for three dimensions affecting the use of coal energy. In order to determine the most important factors, an analysis is performed with IT2 fuzzy DANP method. The most important contribution of this study to the literature is that a proposal can be made for the use of coal energy by considering both positive and negative opinions related to this energy. On the other hand, IT2 fuzzy DANP method has been taken into consideration in this study for the first-time regarding coal energy and it is believed that methodological originality has been achieved. It is identified that social factors have the most importance in the use of coal energy. In this context, environmental pollution, health problems and demographic factors resulting from the use of coal energy should be taken into consideration in the use of this energy. Thus, problems arising from the use of coal energy far outweigh the economic benefits of using this energy. Therefore, factors that may prevent air pollution, such as carbon capture technology, should be considered in the use of coal energy. In addition, the use of high-quality coal will contribute to the reduction of the problems caused with this energy. In addition, investing in renewable energy sources that do not have negative impacts on the environment is also important for the sustainability of future energy policies.","['Electricity, gas, steam, air conditioning', 'Mining and quarrying']",2020,10.3390/en13102453,
"Optimal Design and Performance Analysis of a Hybrid Off-Grid Renewable Power System Considering Different Component Scheduling, PV Modules, and Solar Tracking Systems","The concept of introducing hybrid off-grid systems has made electricity accessible to areas that are far or have no access to grid network. This paper evaluates the techno-economic and environmental characteristics of a hybrid renewable energy system considering three different scheduling approaches, four different solar tracking systems, two different PV modules and eight scheduling scenarios to supply sustainable electricity to a rural community in Sierra Leone. Each scenario consists of a solar tracking system, a specific type of PV module and a scheduling approach. The aim is to find the most efficient and cost-effective scenario that meets the electrical demands of the village. Results revealed that the 'Two axis tracking system' generated the highest PV power, 28.8% additional power compared to the 'No tracking system' confirming the superiority of using a tracking system though it comes with initial cost repercussions. Also, systems that employed the use of Canadiasolar Dymond CS6K-285M-FG PV module tend to be more efficient and cost-effective than those that employed Sharp ND-250QCS PV module even with the same solar tracking technology and scheduling approach. From the best scheduling approach (third scheduling), Scenario 7 (SC#7) gives the lowest net present cost (NPC) of $1.53M with $0.173/kWh cost of energy (COE) and CO 2 emission of 8.54 kg/yr making it the optimum scenario. A daily operation of the optimum scenario on both a sunny and rainy day confirms that the system is capable of supplying the required electricity for both rainy and dry seasons. Sensitivity analyses explain the high reliance of the system cost on the erratic inflation rate, discount rate and PV derating factor. Maintaining a healthy and sustainable environment depends on the minimum load ratio of both the biogas and diesel generators.","['Electricity, gas, steam, air conditioning']",2021,10.1109/ACCESS.2021.3075732,
Nuclear Power Plant Location Selection in Vietnam under Fuzzy Environment Conditions,"The demands for energy in general and electrical power in particular in the process of industrialization–modernization in Vietnam are increasing. Although other renewable energy sources such as wind and solar power have been prioritized, they cannot compensate for the shortages of electricity in Vietnam; moreover, traditional energy sources in Vietnam are not endless and will soon reach exhaustion. Nowadays, the government has chosen a solution to maximize domestic energy resources, i.e., develop renewable energy combined with importing coal and gas in appropriate proportions with the construction of nuclear power plants (NPP), which may be the optimal solution to ensure energy security, environmental protection, and sustainable development. However, site selection for construction of a nuclear power plant is one of the most difficult decisions that management faces. Thus, the authors proposed multicriteria decision-making (MCDM), including a fuzzy analytic network process (FANP) and technique for order preference by similarity of an ideal solution (TOPSIS) for NPP location selection in Vietnam. In the first stages of this research, the weight of all criteria and subcriteria will be calculated by an ANP model using fuzzy logic. A TOPSIS model is proposed for ranking all potential locations in the final stage. The results reveal that Binh Thuan is the best place for building an NPP in Vietnam. The contributions of this research include a fuzzy multicriteria decision-making (F-MCDM) approach for NPP site selection in Vietnam. This research also utilizes the evolution of a new approach that is flexible and practical for the decision-maker and provides useful guidelines for NPP site selection in countries around the world.","['Electricity, gas, steam, air conditioning']",2018,10.3390/sym10110548,
Instrumental social support for the rural elderly: study of a rural block of a costal district of Odisha,"India witnesses an increasing trend of growth in the number and proportion of elderly population (age 60 and above). The absolute number had reached over 103 million (8.58 percent of the total population) and it is expected to go up to 173 million by the year 2026 and is projected to touch 324 million by the year 2050. Odisha also registers a similar pattern of demographic shift in the elderly population. The number of elderly population in the state of Odisha was 2.281 million in 1991 (7.23 percent); 3.04 million (8.26 percent) in 2001 and 3.98 million (9.49 percent) in 2011. As per the Census 2011, a majority of the elderly persons of the state, 3.44 million, constituting 86.33 percent of the total elderly live in the rural Odisha. The increase in the number and proportion of senior citizens is accompanied with higher old age dependency, higher sense of insecurity, higher disease and disability burden with inadequate public health care facilities. The old age dependency ratio in India has increased from 12.19 percent in 1991 to 13.08 percent in 2001, and finally to 14.23 percent in 2011. If one compares the figure of Odisha the percentage are 12.74 (1991), 14.14 (2001) and 15.45 (2011), respectively, which is higher than the national average. This has important implications for the quality of life and healthcare of the elderly at the household level.",['Health and social work'],2017,10.18203/2394-6040.ijcmph20172818,
COMPARISON OF INVESTMENT FEASIBILITY ANALYSIS WITH GRAVITY AND PUMPING SYSTEMS AT SPAM IKK MOTHER WEST HALMAHERA DISTRICT,"Water is a basic need for all living things on this earth, not least for individual humans themselves, that water is the support of daily activities for human survival. The average household water usage in Indonesia is 60 liters per day per person or 45% of the total usage is for drinking, cooking, washing clothes, cleaning houses and vehicles and performing worship. Kecamatan Ibu has a population of 12. 241 people who have not been covered by access to drinking water in the West Halmahera Regency area, but have a Drinking Water Supply System (SPAM) for the Sub-district Capital (IKK) which was built in 2004 supplying 700 house connections (SR) in 2 villages, namely; Maritango Village and Akeboso Village which is taken from Akeboso Spring of 20 L/Det, Since 2017 SPAM IKK Ibu has not functioned due to damage to the piping network due to road widening work, damage to generators and pumps, in this study the authors will analyze the feasibility of investment for 9 villages that will get water with a total population of 1. 102 people by estimating the Budget Plan Cost (RAB) using the PermenPU No. 1 of 2022 guidelines and calculating investment feasibility by calculating Net Present Value (NPV), Internal of Return (IRR), Benefit Cost Ratio (BCR) and Payback Period (PP) and the results obtained in the gravity system have a greater investment value of Rp 13,524,301,000 compared to the pumping system which is Rp 11,919,456,000 from the calculation of the Budget Plan Cost (RAB).","['Water, sewerage, waste']",2023,,
Optimal Load Shedding for Maximizing Satisfaction in an Islanded Microgrid,"A microgrid (MG) is a discrete energy system that can operate either in parallel with or independently from a main power grid. It is designed to enhance reliability, carbon emission reduction, diversification of energy sources, and cost reduction. When a power fault occurs in a grid, an MG operates in an islanded manner from the grid and protects its power generations and loads from disturbance by means of intelligent load shedding. A load shedding is a control procedure that results in autonomous decrease of the power demands of loads in an MG. In this study, we propose a load shedding algorithm for the optimization problem to maximize the satisfaction of system components. The proposed algorithm preferentially assigns the power to the subdemand with a high preference to maximize the satisfaction of power consumers. In addition, the algorithm assigns the power to maximize the power sale and minimize the power surplus for satisfaction of power suppliers. To verify the performance of our algorithm, we implement a multi-agent system (MAS) on top of a conventional development framework and assess the algorithm's adaptability, satisfaction metric, and running time.","['Electricity, gas, steam, air conditioning']",2017,10.3390/en10010045,
