;record_id;type_of_reference;title;secondary_title;language;keywords;abstract;author_address;custom3;issn;year;doi;accession_number;notes;date;volume;start_page;end_page;number;custom7;custom6;first_authors;included;Cleaned_Title;DOI;Keywords
10;10;JOUR;Time, the other dimension of urban form: Measuring the relationship between urban density and accessibility to grocery shops in the 10-minute city;ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE;English;['urban density', '10-minute city', 'time geography', 'accessibility', 'GIS', 'TRAVEL'];Compact settlements take advantage of economies of scale by sustaining a system of high-quality socio-economic services at close proximities. Urban density with a balanced mix of uses also benefits walking and cycling as mobility modes that provide sufficient access to urban amenities, especially when combined with effective public transport. Indeed, walking and cycling can decrease the use of cars for short-distance trips. From this perspective, urban density can help to reduce pollution, optimise energy consumption and decrease infrastructural expenditures while contributing to more attractive urban environments. These ideas have induced a new wave of time geography planning concepts, such as the '10-minute city', to enhance urban sustainability. For these concepts to move beyond visionary narratives, they must be expressed in specific empirical frameworks. Thus, the current research focuses on accessibility to grocery shops, as an essential urban service, in the Stavanger metropolitan area (Norway) using 10 minutes isochrones for walking and cycling. The study integrates open data, GIS network analyses, statistical regressions and bivariate representations of the results. The research estimates the level of serviceability by quantifying the number of shops that are accessible for each location and interrelates this estimation with spatial and population densities. The paper also presents a method to detect spatial inequalities by visualising over/under-serviced areas. This visualisation can become a tool to support strategies to rebalance such imbalances. Moreover, this study offers a practical approach towards the '10-minute city' concept, as it can be adjusted to different isochrones at different spatial scales. In general, this approach can serve both to analyse existing contexts and to model strategies to support sustainability policies, such as urban densification and the promotion of environmental-friendly transport.;Univ Stavanger, Postboks 8600 Forus, N-4036 Stavanger, Norway;Universitetet i Stavanger;2399-8083;2023;10.1177/23998083221103259;WOS:000808677500001;['Times Cited in Web of Science Core Collection:  23', 'Total Times Cited:  23', 'Cited Reference Count:  29'];JAN;50;44;59;1;23998083221103259;MAY 2022;;-1;Time, the other dimension of urban form: Measuring the relationship between urban density and accessibility to grocery shops in the 10-minute city;"10.1177/23998083221103259
";"urban density; 10-minute city; time geography; accessibility; GIS; TRAVEL"
14;14;JOUR;Resilient and sustainable semiconductor supply chain network design under trade credit and uncertainty of supply and demand;INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS;English;['Resilience', 'Sustainability', 'Supply chain network design', 'Multi -objective optimization', 'Trade credit', 'Semiconductor', 'EPSILON-CONSTRAINT METHOD'];Supply Chain (SC) performance appraisal extends beyond economic evaluation to encompass environmental and social impacts, as well as resilience to supply and demand disruptions. Thus, SC network design decisions should simultaneously optimize all these performance metrics as a primary objective. However, existing studies optimized these objectives independently or in a limited scope, failing to comprehensively address the interconnected nature of these performance metrics. Therefore, this study proposes a mixed integer linear programming (MILP) model with four objectives to address a multi-tier resilient and sustainable semiconductor SC network design problem under trade credit, supply, and demand uncertainties. The model aims to determine the optimal number and location of various facilities, the amount to order from suppliers, economic production quantities, quantity allocation between SC entities, and ideal supplier selections. The proposed supply chain network contributes to the global effort to reduce carbon emissions and enhance the circular economy by considering carbon trading, recycling, and the proper disposal of end-of life products. Uncertainties in input parameters are addressed using a fuzzy programming approach, while lexicographic optimization and the epsilon-constraint method are used to solve the proposed model. This paper presents a numerical example to illustrate the applicability of the proposed model and provide managerial insights. The numerical analysis results show that provided an appropriate confidence level for the uncertain parameters, the sets of Pareto optimal solutions can be generated. And it also shows that the total SC cost increases with decreasing carbon emissions level and increasing job opportunities created. This research advances sustainable and resilient supply chain management practices while offering practical guidance for decision-makers in real-world contexts.;Natl Taiwan Univ Sci & Technol, Dept Ind Management, Taipei, Taiwan;National Taiwan University of Science & Technology;0925-5273;2024;10.1016/j.ijpe.2024.109318;WOS:001265509800001;['Times Cited in Web of Science Core Collection:  6', 'Total Times Cited:  6', 'Cited Reference Count:  41'];AUG;274;;;;109318;JUL 2024;;-1;Resilient and sustainable semiconductor supply chain network design under trade credit and uncertainty of supply and demand;"10.1016/j.ijpe.2024.109318
";"Resilience; Sustainability; Supply chain network design; Multi -objective optimization; Trade credit; Semiconductor; EPSILON-CONSTRAINT METHOD"
105;105;JOUR;Sustainable marketing mix and supply chain integration: A systematic review and research agenda;SUSTAINABLE FUTURES;English;['Sustainable marketing', 'Sustainable supply chain', 'Bibliometric analysis', 'Systematic literature review', 'LOGISTICS SERVICE PROVIDERS', 'ENVIRONMENTAL SUSTAINABILITY', 'SOCIAL SUSTAINABILITY', 'PRODUCT DEVELOPMENT', 'MANAGEMENT', 'PERFORMANCE', 'GREEN', 'FOOD', 'FRAMEWORK', 'RESPONSIBILITY'];This study systematically reviews and synthesizes the extant academic literature on sustainable marketing mix through the lens of sustainable supply chain management. Following stringent inclusion/exclusion criteria for journal selection, this study reviews 972 research papers published through a qualitative systematic review and quantitative bibliometric analysis. It presents the top publication trends and overarching themes derived through bibliographic coupling. The analysis indicated that a sustainable supply chain is integral to the sustainable marketing mix. It is crucial to manage the various facets of the supply chain, such as enablers, barriers, and logistical practices, to contribute largely towards sustainable development goals. This is the pioneer study to uncover the components of a sustainable marketing mix and sustainable supply chain and integrate them into a conceptual framework to strengthen their theoretical roots. As emerging from the various thematic structures, this review provides insightful avenues for future research.;BML Munjal Univ, Gurugram, India;BML Munjal University;2666-1888;2024;10.1016/j.sftr.2024.100269;WOS:001299285400001;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  183'];DEC;8;;;;100269;AUG 2024;;-1;Sustainable marketing mix and supply chain integration: A systematic review and research agenda;"10.1016/j.sftr.2024.100269
";"Sustainable marketing; Sustainable supply chain; Bibliometric analysis; Systematic literature review; LOGISTICS SERVICE PROVIDERS; ENVIRONMENTAL SUSTAINABILITY; SOCIAL SUSTAINABILITY; PRODUCT DEVELOPMENT; MANAGEMENT; PERFORMANCE; GREEN; FOOD; FRAMEWORK; RESPONSIBILITY"
118;118;JOUR;Enhancing urban sustainability through industrial synergy: A multidisciplinary framework for integrating sustainable industrial practices within urban settings - The case of Hamadan industrial city;OPEN ENGINEERING;English;['sustainability', 'industrial growth', 'integrated industrial urban environments', 'industrial city development', 'urban production paradigm', 'ENVIRONMENT', 'CITIES'];This study conducts an in-depth analysis of the interplay between sustainable industrial growth and integrated industrial urban environments, proposing a novel paradigm for urban production. The aim of this study is to combine sustainable industrial growth with its integration into urban environments, to establish a new and novel way to seamlessly integrate industrial processes within urban surroundings. This research utilizes a thorough approach, incorporating several disciplines, to examine Hamadan industrial city. It includes an extensive survey of existing literature, a comparative analysis based on empirical evidence, and a detailed evaluation of a specific example. This technique aims to address a significant research gap by providing a comprehensive framework that promotes sustainable industrial practices in urban environments. The scholarly contribution of this work is to manifest in its formulation of a pragmatic framework designed to provide urban planners and policymakers with strategies to harmonize industrial growth with urban sustainability imperatives. This article tackles the considerable challenges posed by escalating urbanization and industrialization. To conceive a framework for urban planning and industrial operations that emphasize environmental stewardship, resource efficiency, and social welfare is the primary purpose of this project. The study shows how industrial cities may revitalize economies, innovate industries, and solve urban problems including housing shortages and congestion. The importance of creative, collaborative, and policy-driven initiatives to build sustainable and resilient industrial-urban ecosystems in global industrial sustainability efforts is highlighted. The findings show that synergistic urban-industrial integration is needed for economic growth, environmental protection, and social welfare.;Univ Basrah, Fac Engn, Architectural Dept, Basrah, Iraq;University of Basrah;2391-5439;2024;10.1515/eng-2024-0033;WOS:001259989200001;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  73'];JUL 2;14;;;1;20240033;;;-1;Enhancing urban sustainability through industrial synergy: A multidisciplinary framework for integrating sustainable industrial practices within urban settings - The case of Hamadan industrial city;"10.1515/eng-2024-0033
";"sustainability; industrial growth; integrated industrial urban environments; industrial city development; urban production paradigm; ENVIRONMENT; CITIES"
150;150;JOUR;Impact of demand forecast information sharing on the decision of a green supply chain with government subsidy;ANNALS OF OPERATIONS RESEARCH;English;['Green supply chain', 'Information sharing', 'Government subsidy', 'Coordination', 'CONSUMER ENVIRONMENTAL AWARENESS', 'PRODUCT DESIGN', 'MANAGEMENT', 'COMPETITION', 'QUALITY', 'MODEL'];"This paper investigates a green supply chain (GSC) consisting of one manufacturer and one retailer who possesses private demand forecast information. To promote green consumption, the government may provide subsidies to consumers. Within a dynamic game where the manufacturer serves as the leader and the retailer acts as the follower, three cases are examined: centralized decision, decentralized decision with and without demand forecast information sharing between the retailer and the manufacturer. We mainly examine the value of information sharing on the decisions of a GSC in the context of government subsidies for consumers. We find that: (i) demand forecast information sharing benefits the manufacturer but damages the retailer; (ii) if the predicted value is higher than the determinate part of the demand, the manufacturer is willing to choose a higher green degree of products in the case with information sharing compared with that without information sharing; otherwise, the manufacturer is willing to choose a lower green degree of products; (iii) a two-part tariff contract is appropriate to coordinate the GSC and it is effective in increasing the green degree of products; (iv) information sharing benefits the GSC if the green production efficiency is high enough; (v) the ex-ante social welfare always increases with information accuracy. Finally, numerical analyses are conducted to verify the above findings.";China Univ Min & Technol, Sch Econ & Management, Xuzhou 221116, Jiangsu, Peoples R China;China University of Mining & Technology;0254-5330;2023;10.1007/s10479-021-04233-7;WOS:000691924800006;['Times Cited in Web of Science Core Collection:  12', 'Total Times Cited:  12', 'Cited Reference Count:  39'];OCT;329;953;978;1-2;;SEP 2021;;-1;Impact of demand forecast information sharing on the decision of a green supply chain with government subsidy;"10.1007/s10479-021-04233-7
";"Green supply chain; Information sharing; Government subsidy; Coordination; CONSUMER ENVIRONMENTAL AWARENESS; PRODUCT DESIGN; MANAGEMENT; COMPETITION; QUALITY; MODEL"
151;151;JOUR;Is the 15-minute city within reach? Evaluating walking and cycling accessibility to grocery stores in Vancouver;TRANSPORTATION RESEARCH INTERDISCIPLINARY PERSPECTIVES;English;['Accessibility', '15-minute city', 'Walking', 'Cycling', 'Food environments'];"Leaders around the world have embraced the idea of a ""15-minute city"". This urban planning concept proposes a city where residents can meet their essential needs within a short walking or cycling trip from their home. Local access to grocery stores is a necessary component for cities to achieve the 15-minute city. This study aims to evaluate local accessibility to grocery stores by walking and cycling in the City of Vancouver. We used a cumulative opportunity measure to count the number of grocery stores available within a 15-minute walk and cycle from people's homes. To evaluate accessibility from the perspective of younger and older travellers, we considered different travel speeds. Our results show there is good accessibility to grocery stores when cycling, with less than 1% of the city's population not having a grocery store within a 15-minute cycle. When assuming a walking speed of an older pedestrian, around one-fifth of the population did not have access to a grocery store in their local area. The neighbourhoods that did not have a store within a 15-minute walk had higher proportions of children, older adults, and visible minorities, and lower rates of employment and post-secondary education attainment. In seeking to improve accessibility via walking and cycling, cities should prioritize grocery store locations and investments in pedestrian and cycling infrastructure to underserved neighbourhoods and populations.";Simon Fraser Univ, Fac Hlth Sci, 8888 Univ Dr, Burnaby, BC V5A 1S6, Canada;Simon Fraser University;2590-1982;2022;10.1016/j.trip.2022.100602;WOS:001089317600004;['Times Cited in Web of Science Core Collection:  50', 'Total Times Cited:  52', 'Cited Reference Count:  23'];JUN;14;;;;100602;;;-1;Is the 15-minute city within reach? Evaluating walking and cycling accessibility to grocery stores in Vancouver;"10.1016/j.trip.2022.100602
";"Accessibility; 15-minute city; Walking; Cycling; Food environments"
161;161;JOUR;Sustainable practices and firm competitiveness: an empirical analysis of the Saudi Arabian energy sector;DISCOVER SUSTAINABILITY;English;['Supply chain sustainability', 'Sustainable Practices and Competitiveness', 'Energy sector', 'Structural Equation Modeling', 'SUPPLY CHAIN MANAGEMENT', 'ORGANIZATIONS', 'PERFORMANCE', 'GREEN'];In pursuit of reducing dependence on oil, the Kingdom of Saudi Arabia has made significant efforts to advance sustainability under the strategic framework known as Saudi Vision. This initiative encompasses a range of activities aimed at promoting sustainability within the energy sector. This paper aims to analyze the existing sustainable practices of companies, employees, and the broader community in the supply chain. The objective is to evaluate current progress toward the sustainability goals of the Kingdom and assess the competitiveness of firms in the energy sector based on the effectiveness of sustainability management in their supply chain. Based on data collected from Saudi energy companies, structural equation modeling (SEM) techniques are utilized to investigate sustainable supply chain management (SSCM) practices and their influence on CP in Saudi Arabian energy companies. This study examines the influence of several practices on competitiveness (CP), including environmental practices (EMPs), social practices for employees (SPEs), social practices for the community (SPCs), operational practices (OPs), and supply chain integration practices (SCIs). The study incorporates five distinct independent variables, namely, EMP, SPE, SPC, OP, and SCI, where the dependent variable under investigation is denoted as CP. The findings from the SEM analysis show that three variables-SPE, SPC, and OP-demonstrate statistical significance, while EMP and SCI do not. These findings enhance the continuing academic discussion about balancing economic growth and environmental preservation through sustainable practices in the energy sector.;King Fahd Univ Petr & Minerals, Dept Informat Syst & Operat Management, Dhahran, Saudi Arabia;King Fahd University of Petroleum & Minerals;2662-9984;2024;10.1007/s43621-024-00347-7;WOS:001264774900003;['Times Cited in Web of Science Core Collection:  3', 'Total Times Cited:  3', 'Cited Reference Count:  32'];JUL 8;5;;;1;146;;;-1;Sustainable practices and firm competitiveness: an empirical analysis of the Saudi Arabian energy sector;"10.1007/s43621-024-00347-7
";"Supply chain sustainability; Sustainable Practices and Competitiveness; Energy sector; Structural Equation Modeling; SUPPLY CHAIN MANAGEMENT; ORGANIZATIONS; PERFORMANCE; GREEN"
182;182;JOUR;The future of sustainable supply chains: a novel tertiary-systematic methodology;SUPPLY CHAIN MANAGEMENT-AN INTERNATIONAL JOURNAL;English;['Sustainability', 'Economic sustainability', 'Supply-chain management', 'Green supply chains', 'Triple bottom line', 'Sustainable supply chain', 'Sustainable supply chain management', 'Tertiary study', 'CORPORATE SOCIAL-RESPONSIBILITY', 'PERFORMANCE-MEASUREMENT', 'CONCEPTUAL-FRAMEWORK', 'LITERATURE-REVIEWS', 'CIRCULAR ECONOMY', 'NETWORK DESIGN', 'MANAGEMENT', 'GREEN', 'INDUSTRY', 'STATE'];Purpose In recent years, economic, environmental and social sustainability has become one of the fastest-growing research fields. The number of primary and secondary papers addressing the triple bottom line is growing significantly, and the supply chain (SC) management discipline is in the same wave. Therefore, this paper aims to propose a novel tertiary systematic methodology to explore, aggregate, categorise and analyse the findings provided by secondary studies. Design/methodology/approach A novel tertiary systematic literature review approach, including 94 secondary studies, is proposed and used to analyse sustainable SC literature. The papers have been analysed using a research protocol, including descriptive and content analysis criteria. Findings This tertiary study does not only provide an overview of the literature on the topic of sustainability in SCs but also goes further, drawing up a categorisation of main research areas and research perspectives adopted by previous researchers. The paper also presents a rank of research gaps and an updated and a prioritised agenda. Originality/value This paper provides a novel interpretation of the research topics addressed by the secondary studies and presents a new classification of the literature gaps and their evolution. Finally, a dynamic research compass for both academicians and practitioners is presented.;Univ Naples Federico II, Dept Ind Engn, Naples, Italy;University of Naples Federico II;1359-8546;2022;10.1108/SCM-08-2020-0383;WOS:000683416800001;['Times Cited in Web of Science Core Collection:  12', 'Total Times Cited:  12', 'Cited Reference Count:  160'];NOV 23;27;762;784;6;;AUG 2021;;-1;The future of sustainable supply chains: a novel tertiary-systematic methodology;"10.1108/SCM-08-2020-0383
";"Sustainability; Economic sustainability; Supply-chain management; Green supply chains; Triple bottom line; Sustainable supply chain; Sustainable supply chain management; Tertiary study; CORPORATE SOCIAL-RESPONSIBILITY; PERFORMANCE-MEASUREMENT; CONCEPTUAL-FRAMEWORK; LITERATURE-REVIEWS; CIRCULAR ECONOMY; NETWORK DESIGN; MANAGEMENT; GREEN; INDUSTRY; STATE"
189;189;JOUR;A systematic review of aggregate production planning literature with an outlook for sustainability and circularity;ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY;English;['Aggregate production planning', 'Systematic review', 'Solution methods', 'Sustainable development', 'Circular economy', 'PARTICLE SWARM OPTIMIZATION', 'GOAL PROGRAMMING APPROACH', 'GREEN SUPPLY CHAIN', 'ROBUST OPTIMIZATION', 'MULTIPLE OBJECTIVES', 'BRAZILIAN SUGAR', 'MODEL', 'DECISION', 'UNCERTAINTY', 'MULTIPERIOD'];Aggregate production planning (APP) is the process of determining production, inventory, and labor levels to meet demand requirements over a planning window up to 1 year. As an emerging field, sustainable APP deals with the accommodation of environmental, economic as well as social sustainability criteria into the planning period which in turn can be achieved by making use of Circular Economy principles in real-world production activities. Different types of models and solution methods have been proposed by many researchers to study the APP problem with applications to a broad spectrum of industries. Yet, there are few studies in the literature that performs a comprehensive review of existing approaches. To the best of our knowledge, this is the first study that offers a systematic review of APP research output spanning the last 50 years. We review about 200 APP papers and systematically classify them with respect to some basic properties (year, type, publisher, publication name and citations) as well as more technical aspects such as model type/structure, solution method, handling of uncertainty and extra features. The main purpose is to find out the current research landscape to link APP with Sustainable Development using digital technologies. Limitations of existing research as well as recommendations for overcoming these shortcomings in the Industry 4.0 era are also discussed. Finally, more insight is given into the APP literature focusing on the sustainability and circularity concepts as well as an outlook for future research directions.;Istinye Univ, Dept Ind Engn, Azerbaycan Caddesi, TR-34396 Istanbul, Turkey;Istinye University;1387-585X;2022;10.1007/s10668-022-02304-8;WOS:000794091000003;['Times Cited in Web of Science Core Collection:  18', 'Total Times Cited:  18', 'Cited Reference Count:  208'];2022 MAY 13;;;;;;MAY 2022;;-1;A systematic review of aggregate production planning literature with an outlook for sustainability and circularity;"10.1007/s10668-022-02304-8
";"Aggregate production planning; Systematic review; Solution methods; Sustainable development; Circular economy; PARTICLE SWARM OPTIMIZATION; GOAL PROGRAMMING APPROACH; GREEN SUPPLY CHAIN; ROBUST OPTIMIZATION; MULTIPLE OBJECTIVES; BRAZILIAN SUGAR; MODEL; DECISION; UNCERTAINTY; MULTIPERIOD"
211;211;JOUR;A smart inventory management system with medication demand dependencies in a hospital supply chain: A multi-agent reinforcement learning approach;COMPUTERS & INDUSTRIAL ENGINEERING;English;['Hospital Supply Chain', 'Smart Medicine Inventory Management System', 'Semi-Markov Decision Process', 'Multi -agent Reinforcement Learning', 'ASSOCIATION RULE', 'MODEL', 'POLICY', 'TIME', 'SUSTAINABILITY'];"In light of the intense need for quality health and well-being, the healthcare industry must improve its operations by strengthening its service delivery and reducing overall costs. A smart inventory management system for managing medicines in a hospital supply chain (HSC) is one of the best solutions as its advantages ensure availability of affordable medicines as well as inventory cost reduction. Significant effort is made on inventory management from literature; however, smart inventory systems for HSC considering the various complexities and uniqueness of healthcare systems are limited. This paper attempts to fill this gap by developing a stochastic semi-Markov decision process model which is solved by a multi-agent reinforcement learning method. Data collected from a multispecialty hospital in India's eastern region serves to validate the proposed model. The results present the optimal order quantities and optimal inventory control policy for the HSC considering the uncertain medication demand at the hospital pharmacy and multiple point-of-care units, and demand dependencies among medicines prescribed to the patients admitted in the hospital. The study also has significant managerial implications for enhancing HSC's inventory performance, improving the healthcare service delivery, reducing healthcare cost, thereby ensuring the affordable, accessible, and quality healthcare to the society.";Indian Inst Technol Dhanbad, Indian Sch Mines, Dept Management Studies & Ind Engn, Dhanbad 826004, Jharkhand, India;Indian Institute of Technology System (IIT System);0360-8352;2024;10.1016/j.cie.2024.110165;WOS:001234268100003;['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  82'];MAY;191;;;;110165;APR 2024;;-1;A smart inventory management system with medication demand dependencies in a hospital supply chain: A multi-agent reinforcement learning approach;"10.1016/j.cie.2024.110165
";"Hospital Supply Chain; Smart Medicine Inventory Management System; Semi-Markov Decision Process; Multi -agent Reinforcement Learning; ASSOCIATION RULE; MODEL; POLICY; TIME; SUSTAINABILITY"
