Sector,Theme,Keywords, OpenAlex_Article_Count,to_suppress
Sufficiency ,International initiatives impact on local sufficiency,WHO,"  18 419 544,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,Globalization,"  12 328 356,00 ",y
Trade,Power Dynamics and Trade,Globalization,"  12 328 356,00 ",y
Digitalisation,Infrastructure,network,"  11 923 739,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,Context,"  10 760 222,00 ",y
Urban settlements ,Urban densification and urban sprawl,Density,"  8 745 744,00 ",y
Mobility,Transport mode,cycling,"  8 089 478,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,UN,"  8 064 978,00 ",y
Sufficiency ,General,sustainability,"  7 591 216,00 ",y
Urban settlements ,Urban densification and urban sprawl,Sustainability,"  7 591 216,00 ",y
Trade,Incentives & Behavioral Shifts,regulation,"  7 502 183,00 ",y
Sufficiency ,Poverty,for the poor,"  7 191 610,00 ",y
Sufficiency ,Financing Mechanisms and Economic Systems,grant,"  6 683 411,00 ",y
Sufficiency ,Driver of consumption,digitalization,"  5 975 603,00 ",y
Trade,Innovation / Technology,green IT,"  5 928 214,00 ",y
Sufficiency ,General,transformation,"  5 683 461,00 ",y
Mobility,Lifestyle and behaviour,transport,"  5 629 799,00 ",y
Sufficiency ,Sufficiency,enoughness,"  5 403 721,00 ",y
Trade,Consumer / Cultural Issues (demand-side),Minimalism,"  4 569 385,00 ",y
Sufficiency ,Accessibility,Gender,"  4 420 667,00 ",y
Sufficiency ,Accessibility,inclusion,"  4 281 604,00 ",y
Sufficiency ,economic,innovation,"  4 084 331,00 ",y
Sufficiency ,International initiatives impact on local sufficiency,Localization,"  3 794 645,00 ",y
Trade,Trade and Sufficiency,Localization,"  3 794 645,00 ",y
Trade,Global Competitiveness,localization,"  3 794 645,00 ",y
Sufficiency ,Sufficiency,reasonableness,"  3 710 126,00 ",y
Trade,Power Dynamics and Trade,Exploitation,"  3 505 552,00 ",y
Digitalisation,Democracy,ethics,"  3 413 977,00 ",y
Sufficiency ,"Public Participation, Inclusive Policies and Civil Engagement",accessibility,"  3 352 899,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Accessibility,"  3 352 899,00 ",y
Urban settlements ,Construction of sustainable urban infrastructure,Decision making,"  3 170 352,00 ",y
