ISO2,ISO_Type,Country,Region,Emissions_scope,Warming_scenario,Probability_of_reach,Budget_distribution_scenario,Years_to_neutrality_from_latest_available,Years_to_neutrality_from_today,Neutrality_year,Latest_year,Latest_population,Latest_annual_CO2_emissions_Mt,Latest_cumulative_CO2_emissions_Mt,Latest_emissions_per_capita_t,Latest_cumulative_population,Share_of_cumulative_population_Latest_to_2050,Share_of_cumulative_population_1970_to_2050,Share_of_cumulative_population_1970_to_latest,share_of_capacity,Global_Carbon_budget,Country_carbon_budget,Country_budget_per_capita,Share_of_cumulative_emissions,Global_Total_Budget,Total_available_budget,Latest_cumulative_emissions_per_capita,Share_of_global_cumulative_emissions,Country_theoretical_budget,Country_share_of_positive_budgets,scenario_id
AW,Country,Aruba,Latin America and Caribbean,Territory,1.5°C,50%,Population,6,4,2029,2023.0,107938.5,0.86718,61.870499,8.03401937214247,4391208.5,1.1807446508044806e-05,1.3029692702129691e-05,1.3430406267832996e-05,0.0,210596.667995,2.486608892123434,23.037274856732623,4.5773120772593597e-05,210658.538494,1562274.20179,0.0005732013970918625,4.5773120772593597e-05,,,1
AW,Country,Aruba,Latin America and Caribbean,Territory,1.5°C,50%,Responsibility,-23,-25,2000,2023.0,107938.5,0.86718,61.870499,8.03401937214247,4391208.5,1.1807446508044806e-05,1.3029692702129691e-05,1.3430406267832996e-05,0.0,210596.667995,-40.88852176820579,-378.81313681592565,4.5773120772593597e-05,210658.538494,1562274.20179,0.0005732013970918625,4.5773120772593597e-05,-40.88852176820579,,2
AW,Country,Aruba,Latin America and Caribbean,Territory,1.5°C,67%,Population,1,-1,2024,2023.0,107938.5,0.86718,61.870499,8.03401937214247,4391208.5,1.1807446508044806e-05,1.3029692702129691e-05,1.3430406267832996e-05,0.0,23596.667995000003,0.27861639511905545,2.581251315508882,4.5773120772593597e-05,23658.538494000004,1375274.20179,0.0005732013970918625,4.5773120772593597e-05,,,3
AW,Country,Aruba,Latin America and Caribbean,Territory,1.5°C,67%,Responsibility,-26,-28,1997,2023.0,107938.5,0.86718,61.870499,8.03401937214247,4391208.5,1.1807446508044806e-05,1.3029692702129691e-05,1.3430406267832996e-05,0.0,23596.667995000003,-43.40000774029056,-402.08088624810017,4.5773120772593597e-05,23658.538494000004,1375274.20179,0.0005732013970918625,4.5773120772593597e-05,-43.40000774029056,,4
AW,Country,Aruba,Latin America and Caribbean,Territory,2°C,50%,Population,32,30,2055,2023.0,107938.5,0.86718,61.870499,8.03401937214247,4391208.5,1.1807446508044806e-05,1.3029692702129691e-05,1.3430406267832996e-05,0.0,1182596.667995,13.963446897942985,129.36484107100787,4.5773120772593597e-05,1182658.538494,2534274.2017900003,0.0005732013970918625,4.5773120772593597e-05,,,5
AW,Country,Aruba,Latin America and Caribbean,Territory,2°C,50%,Responsibility,-18,-20,2005,2023.0,107938.5,0.86718,61.870499,8.03401937214247,4391208.5,1.1807446508044806e-05,1.3029692702129691e-05,1.3430406267832996e-05,0.0,1182596.667995,-27.83416687587212,-257.8706103556388,4.5773120772593597e-05,1182658.538494,2534274.2017900003,0.0005732013970918625,4.5773120772593597e-05,-27.83416687587212,,6
AW,Country,Aruba,Latin America and Caribbean,Territory,2°C,67%,Population,25,23,2048,2023.0,107938.5,0.86718,61.870499,8.03401937214247,4391208.5,1.1807446508044806e-05,1.3029692702129691e-05,1.3430406267832996e-05,0.0,907596.667995,10.716399108230664,99.28245351038476,4.5773120772593597e-05,907658.538494,2259274.2017900003,0.0005732013970918625,4.5773120772593597e-05,,,7
AW,Country,Aruba,Latin America and Caribbean,Territory,2°C,67%,Responsibility,-19,-21,2004,2023.0,107938.5,0.86718,61.870499,8.03401937214247,4391208.5,1.1807446508044806e-05,1.3029692702129691e-05,1.3430406267832996e-05,0.0,907596.667995,-31.527528599526192,-292.08788893236607,4.5773120772593597e-05,907658.538494,2259274.2017900003,0.0005732013970918625,4.5773120772593597e-05,-31.527528599526192,,8
AF,Country,Afghanistan,Southern Asia,Territory,1.5°C,50%,Population,257,75,2100,2023.0,41454761.0,11.020218,226.319057,0.2658372098683671,1133009453.5,0.006719672146041114,0.004930267632425968,0.005158069474431448,0.0,210596.667995,1415.1405639750697,34.13698523011795,0.0001674356873895666,210822.98705199998,1562274.20179,5.4594225498007334e-06,0.0001674356873895666,,,9
AF,Country,Afghanistan,Southern Asia,Territory,1.5°C,50%,Responsibility,397,76,2100,2023.0,41454761.0,11.020218,226.319057,0.2658372098683671,1133009453.5,0.006719672146041114,0.004930267632425968,0.005158069474431448,0.0,210596.667995,2188.003574492531,188.9288377261361,0.0001674356873895666,210822.98705199998,1562274.20179,5.4594225498007334e-06,0.0001674356873895666,7831.999813944755,0.01038954507364038,10
