country,decile,year,EU_Priority,Secondary_indicator,primary_index,Score,Level
AT,1,2023,Agriculture and Food,Nutrition need,AN-EHIS-1,0.8584048653459745,4 (Primary_indicator)
AT,1,2023,Agriculture and Food,Nutrition expense,AE-EHIS-1,0.8686356135530193,4 (Primary_indicator)
AT,1,2023,Energy and Housing,Housing quality,HQ-SILC-1,0.8426452182317484,4 (Primary_indicator)
AT,1,2023,Energy and Housing,Energy,HE-SILC-1,0.858978130425889,4 (Primary_indicator)
AT,1,2023,Energy and Housing,Energy,HE-SILC-2,0.789260359970956,4 (Primary_indicator)
AT,1,2023,Energy and Housing,Energy,HE-HBS-1,0.2193409557790764,4 (Primary_indicator)
AT,1,2023,Energy and Housing,Energy,HE-HBS-2,0.2973362450219587,4 (Primary_indicator)
AT,1,2023,Equality,Life satisfaction,EL-SILC-1,0.8023078018821113,4 (Primary_indicator)
AT,1,2023,Equality,Life satisfaction,EL-EHIS-1,0.9061918059354116,4 (Primary_indicator)
AT,1,2023,Equality,Security,ES-SILC-1,0.4828269543523503,4 (Primary_indicator)
AT,1,2023,Equality,Security,ES-SILC-2,0.6461207013064445,4 (Primary_indicator)
AT,1,2023,Equality,Community,EC-SILC-1,0.7106052440880909,4 (Primary_indicator)
AT,1,2023,Equality,Community,EC-SILC-2,0.756317279413298,4 (Primary_indicator)
AT,1,2023,Equality,Community,EC-EHIS-1,0.8686858461227381,4 (Primary_indicator)
AT,1,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.6220082633516698,4 (Primary_indicator)
AT,1,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.6065845099212017,4 (Primary_indicator)
AT,1,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.5508692186406162,4 (Primary_indicator)
AT,1,2023,Health and Animal Welfare,Health condition and impact,AH-SILC-4,0.2596826700629204,4 (Primary_indicator)
AT,1,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-1,0.9047755051233312,4 (Primary_indicator)
AT,1,2023,Health and Animal Welfare,Health condition and impact,AH-EHIS-2,0.7696424255117625,4 (Primary_indicator)
AT,1,2023,"Intergenerational Fairness, Youth, Culture and Sport",Education,IS-SILC-3,0.9991340397049546,4 (Primary_indicator)
