country,decile,year,EU_Priority,Secondary_indicator,primary_index,Score,Level
AT,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.752249098492957,4 (Primary_indicator)
AT,All,2004,Energy and Housing,Energy,HE-SILC-1,0.8840366639160857,4 (Primary_indicator)
AT,All,2004,Equality,Security,ES-SILC-1,0.6705293446524816,4 (Primary_indicator)
AT,All,2004,Equality,Security,ES-SILC-2,0.8857187788853721,4 (Primary_indicator)
AT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-1,0.6956816533227064,4 (Primary_indicator)
AT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-2,0.7183057555726647,4 (Primary_indicator)
AT,All,2004,Health and Animal Welfare,Health condition and impact,AH-SILC-3,0.5026287705829156,4 (Primary_indicator)
AT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,RU-SILC-1,0.7835553323230731,4 (Primary_indicator)
AT,All,2004,Energy and Housing,Housing quality,All,0.752249098492957,3 (Secondary_indicator)
AT,All,2004,Energy and Housing,Energy,All,0.8840366639160857,3 (Secondary_indicator)
AT,All,2004,Equality,Security,All,0.7792992546302426,3 (Secondary_indicator)
AT,All,2004,Health and Animal Welfare,Health condition and impact,All,0.6394805410069536,3 (Secondary_indicator)
AT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",Unemployment,All,0.7835553323230731,3 (Secondary_indicator)
AT,All,2004,Energy and Housing,All,All,0.8181428812045213,2 (EU_Priority)
AT,All,2004,Equality,All,All,0.7792992546302426,2 (EU_Priority)
AT,All,2004,Health and Animal Welfare,All,All,0.6394805410069536,2 (EU_Priority)
AT,All,2004,"Social Rights and Skills, Quality Jobs and Preparedness",All,All,0.7835553323230731,2 (EU_Priority)
AT,All,2004,All,All,All,0.7551195022911976,1 (EWBI)
BE,All,2004,Energy and Housing,Housing quality,HQ-SILC-1,0.9360972694151973,4 (Primary_indicator)
BE,All,2004,Energy and Housing,Energy,HE-SILC-1,0.800339293450992,4 (Primary_indicator)
BE,All,2004,Equality,Security,ES-SILC-1,0.5133843105446152,4 (Primary_indicator)
BE,All,2004,Equality,Security,ES-SILC-2,0.7428240685279034,4 (Primary_indicator)
