policy_id,sector,source_cluster_id,policy_text,model_category,model_sub_code,model_confidence,model_reasoning,expert_original_label,expert_agrees_now,notes
BUILDING_010,BUILDING,64,"Queensland Heritage Act 1992: Sets up a heritage council to advise the Minister on heritage matters, provides administrative procedures and authority to protect heritage places listed in a register, allows submissions on proposed listings, and permits appeals by owners against listing decisions.",sufficiency,1.0,5,"matches sub-code 1 (cap/limit/ban): regulatory ceiling on demolition/alteration of heritage places, preserving existing building stock",Not a policy,,
BUILDING_031,BUILDING,60,Mandating radon activity concentration measurements in dwellings to avoid critical situations,sufficiency,1.0,5,"matches sub-code 1 (cap/limit/ban): regulatory ceiling on radon exposure, an absolute limit",Not a policy,,
BUILDING_045,BUILDING,6,"Provision of sufficient public utilities, such as portable water and electric supply",sufficiency,9.0,5,matches sub-code 9 (public provisioning securing needs at low throughput),Not a policy,,
FOOD_028,FOOD,5,Fine of 100-300 thousand rubles for legal entities who do not comply with the requirement to label products with GMOs,sufficiency,1.0,5,"matches sub-code 1 (cap/limit/ban): regulatory restriction on GMO products via labeling requirement, effectively limiting their market presence",Not a policy,,
FOOD_046,FOOD,78,EU Directive 1999/74/EC on Laying down minimum standards for the protection of laying hens,sufficiency,1.0,5,"matches sub-code 1 (cap/limit/ban): regulatory ceiling on animal density, an absolute limit on production capacity",Not a policy,,
FOOD_061,FOOD,34,Documentation of community-based land rights backed by law with strict legal enforcement.,sufficiency,1.0,5,matches sub-code 1 (cap/limit/ban): strict legal enforcement of land rights acts as a regulatory ceiling on land use change,Not a policy,,
INDUSTRY_022,INDUSTRY,20,Law no. 4 of 2009 concerning Mineral and Coal Mining,sufficiency,1.0,5,matches sub-code 1 (cap/limit/ban): regulatory ceiling on extraction,Not a policy,,
MACROECONOMIC_060,MACROECONOMIC,30,"Foreign exchange controls to limit speculation against the currency, restrict foreign exchange to government-approved exchangers (CBN), or limit the amount of currency that can be imported or exported.",sufficiency,1.0,5,matches sub-code 1 (cap/limit/ban): absolute ceiling on currency flows,Not a policy,,
MATERIALS_002,MATERIALS,23,Edge-of-field wetlands,sufficiency,1.0,5,matches sub-code 1 (cap/limit/ban): regulatory ceiling on activity via protected area,Not a policy,,
MATERIALS_030,MATERIALS,39,International standards for toxic elements in drinking water,sufficiency,1.0,5,matches sub-code 1 (cap/limit/ban): regulatory ceiling on toxic elements in drinking water,Not a policy,,
MATERIALS_047,MATERIALS,58,Recommendation to locate septic tanks and local latrines away from wells to avoid contamination.,sufficiency,5.0,5,matches sub-code 5 (proximity/compactness/land sufficiency): spatial planning to avoid contamination and reduce need for treatment,Not a policy,,
MATERIALS_058,MATERIALS,32,Transboundary and subnational water-sharing agreements,sufficiency,1.0,5,matches sub-code 1 (cap/limit/ban): regulatory ceiling on water abstraction,Not a policy,,
MOBILITY_008,MOBILITY,2,Closure of transportation infrastructures connecting different parts of Sondrio during floods,sufficiency,0.0,5,"matches sub-code 0 (involuntary/non-policy demand cut): coerced closure during floods, not deliberate policy",Not a policy,,
SOCIAL_058,SOCIAL,71,Prohibition of marriage of Iranian women to foreign men without special permission from the government,sufficiency,1.0,5,matches sub-code 1 (cap/limit/ban): absolute prohibition on a specific activity,Not a policy,,
URBAN_003,URBAN,42,"Government measures in response to the COVID-19 pandemic that reduced anthropogenic activities (industrial, transportation) during the DLP-2020.",sufficiency,0.0,5,matches sub-code 0 (involuntary/non-policy demand cut): COVID-19 lockdowns reduced activities without deliberate sufficiency policy,Not a policy,,
URBAN_009,URBAN,42,Restricting the use of green spaces during pandemics to mitigate disease transmission,sufficiency,1.0,5,matches sub-code 1 (cap/limit/ban): regulatory restriction on use of green spaces,Not a policy,,
URBAN_038,URBAN,79,Implementation of restrictive measures in residential areas to reduce noise pollution,sufficiency,1.0,5,"matches sub-code 1 (cap/limit/ban): regulatory ceiling on noise, an absolute restriction",Not a policy,,
URBAN_041,URBAN,81,Informed land use planning in the Deukhuri Valley,sufficiency,5.0,5,"matches sub-code 5 (proximity, compactness & land sufficiency): spatial planning to avoid need",Not a policy,,
URBAN_042,URBAN,51,Expansion of the scale of cities and towns,sufficiency,5.0,5,"matches sub-code 5 (proximity, compactness & land sufficiency): expansion of urban scale implies limiting sprawl or promoting compactness",Not a policy,,
URBAN_065,URBAN,40,Establish market supervision and government monitoring mechanisms to prevent the public facilities supply market from becoming a proﬁt-seeking tool for capital,sufficiency,9.0,5,"matches sub-code 9 (public provisioning): collective provision securing needs at low throughput, preventing profit-driven overconsumption",Not a policy,,
BUILDING_004,BUILDING,75,"Inclusion of land-use, water management, and materiality considerations in Approved Documents",sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): land-use and water management considerations aim to reduce absolute demand for land and resources.",Not a policy,,
BUILDING_028,BUILDING,73,Environmental education of the society in the use of alternative solutions of building thermoregulation.,sufficiency,4.0,4,matches sub-code 4 (passive/climate-responsive design): education on alternative thermoregulation avoids active system demand,Not a policy,,
BUILDING_040,BUILDING,53,The maximized use of roof space,sufficiency,5.0,4,"matches sub-code 5 (proximity, compactness & land sufficiency): maximizing roof space avoids sprawl and reduces land demand",Not a policy,,
BUILDING_043,BUILDING,80,Introduction of the Cold Weather Plan for England,sufficiency,9.0,4,matches sub-code 9 (public provisioning): collective plan to secure health needs at low throughput during cold weather,Not a policy,,
BUILDING_048,BUILDING,43,Implement regular maintenance and inspections for educational facilities,sufficiency,7.0,4,"matches sub-code 7 (share, reuse, repair & prolong): maintenance prolongs building lifespan, avoiding new construction demand",Not a policy,,
ENERGY_018,ENERGY,27,Heat allowances for energy vulnerable consumers,sufficiency,9.0,4,matches sub-code 9 (public provisioning): collective provision securing needs at low throughput for vulnerable consumers,Not a policy,,
ENERGY_037,ENERGY,27,Financial support programs to fight energy poverty,sufficiency,9.0,4,"matches sub-code 9 (public provisioning): financial support secures basic energy needs at low throughput, reducing absolute demand for those in poverty",Not a policy,,
FOOD_008,FOOD,51,Supporting the formation and participation of farmer cooperatives,sufficiency,9.0,4,matches sub-code 9 (public/collective provisioning at low throughput) by enabling collective action that can reduce resource use,Not a policy,,
FOOD_025,FOOD,51,Commonly owned equipments can be purchased to encourage communal participation.,sufficiency,7.0,4,"matches sub-code 7 (share, reuse, repair & prolong): sharing equipment reduces absolute demand for new goods",Not a policy,,
