title,abstract,true_label
APPLICATION OF ESG IN dEVELOPING A REGIONAL STRATEGY,"New trends in the economy involve not only stable profit maximization and sustainable cost minimization, but also taking into account such factors as the natural, social and spiritual environment, which has become a fundamental basis that must withstand serious degradation. Global climate change, gender and social inequality lead to a revision of the world view and awareness of the importance of sustainable development, which is necessary to solve systemic crises and global challenges. The state of the environment is the basis of food security, which depends on the efficiency of agricultural production and the improvement of agro– and biotechnologies, these issues are based on the policy of sustainable development and are translated into the development strategies of regions and countries. Population growth, an increase in anthropogenic impact, and environmental degradation require each individual organization to choose a concept for achieving sustainable development goals, which should be reflected in the development strategy of the region. These new rules, uncharacteristic for the business turnover of many organizations, contain a sufficient number of debatable issues, primarily due to the lack of regulatory regulation of these issues. This article is intended to systematize the variety of sources of information on this issue and determine the requirements dictated by modern trends in the field of the ESG agenda for existing regional development strategies. An important part of the region's strategy is the creation of a carbon polygon, an experimental site for monitoring the circulation of carbon in nature, its presence in forests, cities, ecosystems, in order to be able to assess how much carbon is absorbed by domestic ecosystems, to be able to influence the trans-carbon tax and direct its funds to protection environment. The creation of carbon landfills should help determine how much of which tree species should be planted to offset harmful greenhouse gas emissions, which must necessarily be accompanied by monitoring of greenhouse gas fluxes in ecosystems. © E.A. Zhidkova, A.V. Kharitonov, 2022.",About Sufficiency
"Urban expansion, economic development, and carbon emissions: Trends, patterns, and decoupling in mainland China's provincial capitals (1985-2020)","In 2020, the Chinese government set the objective of achieving carbon neutrality, making it essential to understand the urbanization process in order to effectively implement future sustainable development strategies. Here, we demonstrate the urbanization development of 31 provincial capitals in mainland China from 1985 to 2020, including changes in impervious surfaces, socio-economic development, carbon emissions, and population. Using elasticity coefficients and the carbon emissions causal equation for quantitative analysis, we explore the relationships among these factors. We found that the national urban expansion rate experienced rapid growth, followed by a slowdown, with the peak occurring between 2000 and 2005. In just 40 years, total urban area expanded from 11,280 km2 to 40,429 km2, with eastern cities growing faster than those in the west. Despite similar trends, different cities displayed four distinct spatial characteristics, shaped by factors such as topography, transportation, and policies. Moreover, urban economic development is gradually decoupling from carbon emissions, accompanied by a declining reliance on urban area expansion and a reduced growth rate of carbon emissions. A strong decoupling trend between economic growth and carbon emissions has already emerged in the South & Central and Northwest regions, offering a preliminary explanation for the observed slowdown in carbon emissions. The study provides a comprehensive overview of the urbanization process in mainland China, highlighting low-carbon urban transformations and revealing how government policies have significantly shaped the development patterns of Chinese cities. These findings offer valuable insights for policymakers to further promote sustainable development goals.",About Sufficiency
A strategy for green infrastructure network based on multifunctional synergy,"The multifunctionality of green infrastructure (GI) has become an important component of sustainable urban development, influenced by the pressures associated with climate extremes and agglomeration of populations. The protection and construction of urban GI is an essential way of adapting to the national policy of high-quality development at the current stage. However, how GI is developed needs to be further discussed. In this study, Zhengzhou City, a centre city in China, as a case. We proposed an analytical framework of ""functional assessment - correlation analysis - corridor network"" in this study. It specifically refers to the assessment and the trade-off and synergy analysis of the six GI functions, namely stormwater management, climate regulation, landscape recreation, air quality, biodiversity and social vulnerability. This is based on the bivariate local indicators of spatial association and circuit theory methods. We found that the urban GI construction areas do not match the built-up areas of the city. Moreover, most of the GI functions were found to show synergistic effects, except for the trade-off with air quality. In addition, we constructed a GI network containing 12 GI hubs and 24 GI corridors to address the inequality in geospatial distribution of GI due to spatial heterogeneity. This paper provides a reliable strategic foundation for the relevant decision makers to optimize GI planning in Zhengzhou. It also provides a scientific reference for GI planning in similar areas to support sustainable habitat development in metropolitan areas.",About Sufficiency
A strategy for green infrastructure network based on multifunctional synergy,"The multifunctionality of green infrastructure (GI) has become an important component of sustainable urban development, influenced by the pressures associated with climate extremes and agglomeration of populations. The protection and construction of urban GI is an essential way of adapting to the national policy of high-quality development at the current stage. However, how GI is developed needs to be further discussed. In this study, Zhengzhou City, a centre city in China, as a case. We proposed an analytical framework of ""functional assessment - correlation analysis - corridor network"" in this study. It specifically refers to the assessment and the trade-off and synergy analysis of the six GI functions, namely stormwater management, climate regulation, landscape recreation, air quality, biodiversity and social vulnerability. This is based on the bivariate local indicators of spatial association and circuit theory methods. We found that the urban GI construction areas do not match the built-up areas of the city. Moreover, most of the GI functions were found to show synergistic effects, except for the trade-off with air quality. In addition, we constructed a GI network containing 12 GI hubs and 24 GI corridors to address the inequality in geospatial distribution of GI due to spatial heterogeneity. This paper provides a reliable strategic foundation for the relevant decision makers to optimize GI planning in Zhengzhou. It also provides a scientific reference for GI planning in similar areas to support sustainable habitat development in metropolitan areas.",About Sufficiency
"Food waste and its associated environmental impacts in workplace buffet-style canteens in Beijing, China","Introduction: Food waste is a significant global challenge, with critical implications for food security, ecosystem services, biodiversity, and human health. Despite growing attention to food waste in food service sectors, workplace buffet-style canteens—particularly in China—remain understudied. This research addresses this gap by quantifying food waste and evaluating its environmental impacts in workplace buffet-style canteens in Beijing, China. Methods: Field surveys were conducted in four workplace buffet-style canteens in Beijing during August and September 2021. Systematic sampling yielded 656 valid samples. Food waste was measured using a direct weighing method, categorized into eight food types, and analyzed for its environmental impacts using carbon, nitrogen, phosphorus, water, and ecological footprint metrics. Conversion factors were applied to translate cooked food into raw agricultural equivalents for consistent impact assessment. Results: The study found an average daily per capita food waste of 158.4 g, with lunch contributing the highest waste (78.8 g) compared to breakfast and dinner. While vegetables were the largest contributors by weight, livestock products, though comprising only 29.9% of waste, accounted for the majority of environmental impacts, including 96.7% of the ecological footprint and 85.7% of the water footprint. Self-run canteens generated less waste across all meals compared to outsourced ones, and higher food and cuisine diversity were associated with increased food waste. Discussion: The findings underscore the influence of dietary habits, management models, and food diversity on food waste generation. Livestock product waste poses disproportionate environmental burdens, highlighting the need for targeted interventions such as portion control and educational campaigns on sustainable dining practices. These results provide valuable insights for policymakers aiming to align food waste reduction strategies with Sustainable Development Goal 12.3. Copyright © 2024 Zhang, Zhang, Xue and Wu.",About Sufficiency
Effect of Nature Space on Enhancing Humans’ Health and Well-Being: An Integrative Narrative Review,"With the progress of science and technology, humans’ ability to transform and create has been greatly enhanced, but so have the physical and mental ailments associated with environmental degradation and urbanization. Human survival and health are strongly linked to nature, and there is growing evidence that exposure to nature promotes health and well-being. However, there is currently a lack of synthesis among empirical studies on these aspects for the findings to be sufficient for informing public health strategies and social policy. Here, following basic guidelines for systematic review and meta-analysis, we searched PubMed, Web of Science, ScienceDirect, and Scopus databases in January 2023. The results of our search and analysis show that nature can improve people’s health and well-being from two aspects: physical (reduces CVDs, increases immunity, improves autonomic nervous system function, and improves sleep quality) and psychological (restores attention, improves mood, reduces stress, and improves cognitive development). The ways in which people derive health from nature are varied, and tailored, personalized, symptom-specific exposure can further increase the health benefits. More importantly, it seems that people can gain the health benefits of nature by only being exposed to it for a short time. We incorporate the existing scientific evidence in our review and develop a new heuristic point of view on the necessity of exposure to natural environments for the health of individuals. © 2024 by the authors.",About Sufficiency
MMD-TSC: An Adaptive Multi-Objective Traffic Signal Control for Energy Saving with Traffic Efficiency,"Reducing traffic energy consumption is crucial for smart cities, and vehicle carbon emissions are a key energy indicator. Traffic signal control (TSC) is a useful method because it can affect the energy consumption of vehicles on the road by controlling the stop-and-go of vehicles at traffic intersections. However, setting traffic signals to reduce energy consumption will affect traffic efficiency and this is not in line with traffic management objectives. Current studies adopt multi-objective optimization methods with high traffic efficiency and low carbon emissions to solve this problem. However, most methods use static weights, which cannot adapt to complex and dynamic traffic states, resulting in non-optimal performance. Current energy indicators for urban transportation often fail to consider passenger fairness. This fairness is significant because the purpose of urban transportation is to serve people’s mobility needs not vehicles. Therefore, this paper proposes Multi-objective Adaptive Meta-DQN TSC (MMD-TSC), which introduces a dynamic weight adaptation mechanism to simultaneously optimize traffic efficiency and energy saving, and incorporates the per capita carbon emissions as the energy indicator. Firstly, this paper integrates traffic state data such as vehicle positions, velocities, vehicle types, and the number of passengers and incorporates fairness into the energy indicators, using per capita carbon emissions as the target for reducing energy consumption. Then, it proposes MMD-TSC with dynamic weights between energy consumption and traffic efficiency as reward functions. The MMD-TSC model includes two agents, the TSC agent and the weight agent, which are responsible for traffic signal adjustment and weight calculation, respectively. The weights are calculated by a function of traffic states. Finally, the paper describes the design of the MMD-TSC model learning algorithm and uses a SUMO (Simulation of Urban Mobility) v.1.20.0 for traffic simulation. The results show that in non-highly congested traffic states, the MMD-TSC model has higher traffic efficiency and lower energy consumption compared to static multi-objective TSC models and single-objective TSC models, and can adaptively achieve traffic management objectives. Compared with using vehicle average carbon emissions as the energy consumption indicator, using per capita carbon emissions achieves Pareto improvements in traffic efficiency and energy consumption indicators. The energy utilization efficiency of the MMD-TSC model is improved by 35% compared to the fixed-time TSC. © 2024 by the authors.",About Sufficiency
"Public perception and preferences of small urban green infrastructures: A case study in Guangzhou, China","With the growing demand for small urban green infrastructures (UGIs), knowing the public perception of small UGIs is important for future urban planning and decision-making. This study focusing on three small UGIs (a green roof, green wall, and small green lane in Guangzhou) explored residents' willingness to pay (WTP) for the maintenance of small UGIs and estimated their nonmarket value via travel cost method (TCM). Among 409 respondents from different neighborhoods, 80% were willing to pay for using and maintaining these UGIs. The aggregated annual WTP for investigated UGIs was approximately RMB 72.3 million per household, and the annual nonmarket value that the UGIs provided to human well-being was about RMB 74.5 million per household. Young respondents who might have lower incomes would like to pay more compared to elderly respondents. Among the five environmental issues investigated, people took air pollution as the most severe issue, and they preferred to pay more for air quality regulation services. To improve public understanding of small UGIs and their urban ecosystem services, education and publicity programs should be launched for various groups of people in the future. These findings will help city planners identify more effective designs for small UGIs, thus meeting societal preferences and demands.",About Sufficiency
Novel Irrigation Technologies for Urban Landscaping,"Trees are a natural biofilitration approach to managing stormwater runoff for the development of green infrastructure that provides many community benefits as our urban areas expanding. These benefits include stormwater retention, erosion and pollution reduction, biodiversity and habitat restoration, esthetic and other environmental and social benefits. But growing a tree in the over-saturated soil (typical case during storm time) could kill a tree, too. On the other hand, 80% of the U.S. territory suffers at least a seasonal drought annually according to National Oceanic and Atmospheric Administration. Trees and plants typically suffer much during droughts. This presentation will review the new irrigation technologies that are suitable for urban landscaping, which are quite different from farm fields. Conventionally, development of irrigation technologies is driven by agriculture industry so that these technologies are more suitable for farm use than for typical urban settings. For example, road median plantings are too difficult to use drip irrigation system because of legislation and logistics reasons. Irrigation systems can also be very cost inefficient compared to farm fields where acres of plants can share a system, while road median is the opposite in terms density of plantings. In addition, harsher environment and vandalism may cause damages. Novel irrigation technologies that are best for urban plantings and cope with the harsher growing urban environment will be discussed with case studies. The goal of this session is to educate and to recommend the best technologies for urban environments. The criteria include making best usage of natural precipitation water, stormwater holding and slow releasing capability, reducing labor cost, saving water, suppressing invasive species, and protecting plantings against harsher growing conditions than farms: heat island effect, excessive sunlight from reflections from buildings and road surfaces, limited soil volume, compacted soil, pollution from road maintenance and emission, vandalism, more flooding (within in the concrete forest), etc. © 2018 American Society of Civil Engineers.",About Sufficiency
"Impacts of urban expansion on ecosystem services in the Beijing-Tianjin-Hebei urban agglomeration, China: A scenario analysis based on the Shared Socioeconomic Pathways","Understanding the impacts of urban expansion on ecosystem services (ESs) is important for sustainable development on regional and global scales. However, due to the uncertainty of future socioeconomic development and the complexity of urban expansion, assessing the impacts of future urban expansion on ESs remains challenging. In this study, we simulated the urban expansion in the Beijing-Tianjin-Hebei (BTH) urban agglomeration in China from 2013 to 2040, and assessed its potential impacts on ESs based on the Shared Socioeconomic Pathways (SSPs) and the Land Use Scenario Dynamics-urban (LUSD-urban) model. We found that urban land in the BTH urban agglomeration is expected to increase from 7605.25 km2 in 2013 to 9401.75–11,936.00 km2 in 2040. With continuing urban expansion, food production (FP), carbon storage (CS), water retention (WR), and air purification (AP) will decrease by 1.34–3.16%, 0.68–1.60%, 0.80–1.89%, and 0.37–0.87%, respectively. The conversion of cropland to urban land will be the main cause of ES losses. During 2013–2040, the losses of ESs caused by this conversion will account for 83.66–97.11% of the total losses in the whole region. Furthermore, the ES losses can cause considerable negative impacts on human well-being. The loss of FP will be equivalent to the food requirement of 3.68–8.61% of the total population in 2040, and the loss of CS will be 2.55–6.01% of the total standard coal consumption in 2013. To ensure sustainable development in the region, we suggest that effective policies and regulations should be implemented to protect cropland with high ES values from urban expansion. © 2017",About Sufficiency
