title,abstract,true_label
The biodiversity of food and agriculture (Agrobiodiversity) in the anthropocene: Research advances and conceptual framework,"Multiple knowledge systems are crucial to understand human-environment interactions of the biodiversity of agriculture and food systems (agrobiodiversity). This article synthesizes these knowledge systems to formulate the novel Agrobiodiversity Knowledge Framework comprised of four themes: (1) ecology and evolution; (2) governance; (3) food, nutrition, and health; and (4) global environmental and socioeconomic changes. Resulting characterization of these knowledge themes, joined with cross-theme integration, demonstrate advances of agrobiodiversity research, management, and policy amid the accelerated global environmental and socioeconomic transformations of the Anthropocene. Framework results guide the presentation of new data from the Agrobiodiversity, Food, and Nutrition project (AFN) in Peru. These results integrate an emphasis on factors of global change, including climate change. The combination of the new knowledge framework and project results is utilized to point toward future directions for research, policy, and management. The Agrobiodiversity Knowledge Framework is essential to address the transformative planetary challenges of the Anthropocene that include sustainable development with nutritional security, biodiversity conservation, social justice, climate change, and nutrient pollution. Strengthening the focus on and analysis of the complex human-environment interactions of biodiversity in agriculture and food is vital as a nexus of science, scholarship, management, and policy in the era of Earth systems dominated by human activity. © 2019 Elsevier Ltd",About Sufficiency
Role of mineral-based industrialization in promoting economic growth: Implications for achieving environmental sustainability and social equity,"This research's problem statement centers on balancing economic development with environmental protection and social well-being. As mineral resources represent a crucial driver of economic growth in these regions, examining how their exploitation impacts economic indicators and the broader dimensions of sustainability and equity is imperative. Over the past decade (2010–2020), the role of mineral-based industrialization in fostering economic growth has garnered significant attention, particularly in Africa, Asia, and Latin America. This study delves into the complex interplay between mineral-based industrialization, environmental sustainability, and social equity in these regions, employing the Data Envelopment Analysis (DEA) model as a critical analytical tool. The results of this study reveal multifaceted insights. While mineral-based industrialization has indeed contributed to economic growth in these regions, the environmental implications are significant. Often, the extraction and processing of minerals come at the cost of environmental degradation, posing challenges to sustainability. Moreover, the distribution of benefits from this growth is often unequal, exacerbating social inequities. This research underscores the complex dynamics surrounding mineral-based industrialization in Africa, Asia, and Latin America. It highlights the need for a nuanced approach considering economic growth, environmental sustainability, and social equity. Policymakers and stakeholders must carefully navigate these challenges to ensure that mineral resources serve as catalysts for comprehensive and inclusive development in the future. © 2023 Elsevier Ltd",About Sufficiency
Optimal timing of phasing out producer subsidies towards carbon neutrality: Interaction between fossil energy extraction and environmental uncertainties,"Since subsidies for fossil-fuel producers entail “carbon locked-in” risks, phasing out the subsidies is widely agreed to be critical for progress on climate change towards carbon neutrality. However, due to the uncertainties and irreversibilities associated with environmental degradation and economic losses, delaying removal efforts allows us to benefit from cheaper abatement options and less total abatements owning to self-regeneration of pollution stock. Therefore, whether the removal action should be taken currently or be delayed becomes vital for policy making. We develop a real option model of policy timing using a green social welfare as the objective, consisting of the standard Hotelling model of exhaustible resource extraction, and a stochastic state variable to capture uncertainties over the social costs of environmental damage. Analytic solutions are derived to show the implication of these uncertainties for policy adoption, and the results are presented: (i) a higher volatility of economic costs per emissions leads to a positive incentive for delaying removal in some bounds of uncertainties; (ii) amount of subsidies, pollution stocks, depletion of fossil fuel production and its marginal costs have negative impacts on the timing threshold, which implies that adopting currently is better than waiting; and (iii) discount rate increases the option value of delaying the policy. Our study provides a valuable framework to determine the energy and environmental policy timing with uncertainties for regulators. © 2024 The Authors",About Sufficiency
Spatiotemporal evolution and driving factors of green energy efficiency in Jiangsu Province: a sustainable development perspective,"With the ongoing global climate change and energy structure transformation, green energy efficiency has become one of the key indicators for achieving sustainable development. This study uses panel data from 13 prefecture-level cities in Jiangsu Province, China, from 2012 to 2022 to explore the spatiotemporal evolution and driving factors of green energy efficiency. The study employs the super-efficiency Slack-Based Measure (SBM) method to measure the green energy efficiency of each region. It uses the Gini coefficient and kernel density estimation methods to analyze the spatiotemporal evolution characteristics of green energy efficiency. Furthermore, based on a fixed effects model, the study delves into the main driving factors influencing green energy efficiency. The results show that green energy efficiency in Jiangsu Province is generally on an upward trend. The Gini coefficients of both the southern and northern regions of Jiangsu have increased, but the gap in green energy efficiency between the two regions has gradually widened. The degree of government intervention and the level of industrialization are unfavorable to the growth of green energy efficiency. In contrast, foreign investment levels, financial development, and urbanization show significant positive effects. Finally, based on the empirical findings, targeted recommendations are provided to promote green energy efficiency, offering important theoretical support and empirical evidence for the country’s strategic goals of achieving green and low-carbon development. Copyright © 2025 Zhang, Wang and Jiang.",About Sufficiency
Low-Carbon Fresh Produce Supply Chain Decision-Making Considering Government Subsidies,"With the deterioration of the greenhouse effect, countries around the world have introduced all kinds of carbon emission reduction policies to cope with the challenge of global climate change. In this background, the development of fresh produce supply chain in China has also encountered new challenges, and there is a large amount of carbon emissions in each link from production to transport to final sales of agricultural products, so the study of fresh produce supply chain decision-making problems considering carbon emissions is conducive to promoting its low-carbon and efficient operation. This paper introduces the policy of government subsidy for unit products, uses the conflict analysis method based on graph model to determine the object of government subsidy, constructs a three-stage game model under these two mandatory policies respectively, solves and numerically analyses the problem, and finally makes suggestions for the low-carbon and fresh produce decision-making of the enterprises as well as the government’s formulation of relevant policies. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.",About Sufficiency
The unintended impact of carbon trading of China's power sector,"Carbon trading is considered a strategy for reallocating carbon permits and reducing abatement costs that may also change energy consumption and the distribution of atmospheric pollution emissions, resulting in environmental health benefits or damage on a regional scale. In this research, we use an agent-based model to construct a national carbon emissions trading market of the power sector based on the year of 2013, and simulate the key atmospheric pollution emission patterns and the corresponding environmental health effects. We find that compared with a command and control policy, the carbon trading policy is able to reduce the CO2 emissions and save abatement costs by approximately 63.53 RMB/ton. Meanwhile, the results show the carbon trading policy would synergistically reduce PM2.5 emissions by 1.55 million tons. Addition, we use a simplified exposure-response model to estimate health benefits by synergistically reducing PM2.5 emissions, and find that the carbon trading policy would decrease 45,200 cases of all-cause mortality and generate 307.07 billion RMB in environmental health benefits. The co-benefit accounts for 0.52% of the nation's gross domestic product (GDP) in 2013. However, compared with the command and control policy, carbon trading changes the pollution emission distribution among the different provinces, and results in unintended environmental health damages in some provinces. Setting reasonable trading directions and exchange ratios, increasing stringency of environmental regulations in some provinces with worsening air pollution should be implemented to complement the carbon trading policy. © 2020 Elsevier Ltd",About Sufficiency
Transportation-Induced Carbon Emissions Jeopardize Healthcare Logistics Sustainability: Toward a Healthier Today and a Better Tomorrow,"Background: Logistics operations are considered essential for transporting commodities from one location to another, helping to promote global economic activity. On the other hand, its negative impact eclipses its positive impact, namely the rise in healthcare expenditures due to its ecological footprint. Globally, rising out-of-pocket health expenses result from logistic-induced carbon emissions, posing a danger to the long-term viability of healthcare. Methods: Based on this critical fact, this study examined the impact of logistics operations on healthcare costs by controlling for carbon emissions, fuel imports, and economic development across a large cross-section of 131 nations by using the Robust Least Squares Regression. Results: The findings demonstrate a U-shaped association between logistical operations and healthcare expenditures, i.e., if there is a 1% increase in logistics operations, healthcare expenditures decrease by −2.421% initially, while at later stages, healthcare costs would increase by 0.139%. On the other hand, increased fuel imports and economic growth due to logistics activities are increasing healthcare expenditures with an elasticity estimate of 0.087% and 0.147%, respectively. According to the forecasting predictions, logistics-induced carbon emissions, fuel imports, and economic expansion will increase healthcare expenses. Conclusions: A sustainable logistics operation is critical for strengthening healthcare infrastructure and meeting the global carbon neutrality goal. © 2022 by the authors.",About Sufficiency
Aspects of renewable energy influenced by natural resources: How do the stock market and technology play a role?,"Subsidies for fossil fuels are one of the major financial barriers to the shift to renewable energy in the world. A sustainable and safe world is based on renewable energy, which is derived from natural resources that are abundant and continuously replenished. This study investigates the impact of natural resources on renewable energy consumption in N-11 countries. It moderates the roles of economic growth, stock market capitalization, and technology from 1990 to 2020. This study involves the development of an empirical analysis, the application of advanced econometric methodologies, and the development of a comprehensive policy report. Technology and the stock market are negatively related to renewable energy consumption in the short and long run. There is a positive relationship between natural resources and renewable energy consumption both in the short and long term. A positive relationship exists between economic growth and renewable energy consumption over the long term. Energy policies must be clear, robust, transparent, supported by public support, and backed up by modern energy transmission systems implanted in N-11 countries to accelerate wind and solar energy adoption. In addition to reducing emissions, shifting subsidies to renewable energy supports sustainable economic growth, job creation, improved public health, and greater equity is recommended. Study limitations and direction for future research discussed. © 2023 Elsevier Ltd",About Sufficiency
Can ratoon cropping improve resource use efficiencies and profitability of rice in central China?,"Identifying cropping systems with small global warming potential (GWP) per unit of productivity is important to ensure food security while minimizing environmental footprint. During recent decades, double-season rice (DR) systems in central China have progressively shifted into single-crop, middle-season rice (MR) due to high costs and labor requirements of double-season rice. Ratoon rice (RR) has been proposed as an alternative system that reconciliates both high annual productivity and relatively low costs and labor requirements. Here we used on-farm data collected from 240 farmer fields planted with rice in 2016 to evaluate annual energy balance, environmental impact, and net profit of MR, DR, and RR cropping systems in central China. Energy factors, emission values, and commodity prices obtained from literature and official statistics were used to estimate energy balance, GWP, and economic profit. Average annual yield was 7.7, 15.3. and 13.2 Mg ha −1 for MR, DR, and RR systems, respectively. Average total annual energy input (36 GJ ha −1 ), GWP (9783 kg ha −1 ), and production cost (3057 $ ha −1 ) of RR were 35–48% higher than those of MR. However, RR achieved 72–129% higher annual grain yield (13.2 Mg ha −1 ), net energy yield (159 GJ ha −1 ), and net economic return (2330 $ ha −1 ) than MR. Compared with DR, RR produced statistically similar net energy yield while doubling the net economic return, with 32–42% lower energy input, production costs, and GWP. Consequently, RR exhibited significantly higher net energy ratio and benefit-to-cost ratio, and substantially lower yield-scaled GWP than the other two cropping systems. In the context of DR being replaced by MR, our analysis indicated that RR can be a viable option to achieve both high annual productivity and large positive energy balance and profit, while reducing the environmental impact. © 2019 The Authors",About Sufficiency
Spatio-temporal evolution and drivers of coupling coordination between digital infrastructure and inclusive green growth: Evidence from the Yangtze River economic belt,"The change of digital technology has ushered in a new era of digital infrastructure (DI) development. Facilitating the synergistic of DI and inclusive green growth (IGG) is essential for achieving sustainable development at the regional level. This study draws on panel data from 107 cities within China's Yangtze River Economic Belt (YREB) and employs a variety of research methodologies, including the entropy method, the coupling coordination degree model (CCDM), exploratory spatial data analysis (ESDA), the Dagum Gini coefficient, the GM (1.1), and an optimal parameters-based geographical detector (OPGD). The aim is to explore the coupling coordination degree (CCD) and drivers between DI and IGG from 2011 to 2020. The findings reveal: (1) Throughout the study, the CCD within the YREB remained generally low, achieving only low coordination by 2020. However, the system demonstrates greater harmonization and improved quality each year. Spatially, the distribution pattern exhibits a distinct “high in the east and low in the west” trend. (2) The CCD exhibits a positive spatial correlation, particularly with High-High clusters concentrated in the Yangtze River Delta (YRD). (3) Utilizing difference analysis and gray model predictions, the CCD level of the YREB shows considerable potential for development, with regional disparities gradually narrowing. (4) While the dominant driving factors of CCD vary across different sub-regions of the YREB, information supportability and economic driving force generally emerge as the primary drivers across different spatial sub-regions, with their impact significantly enhanced when interacting with other factors. Consequently, this study accurately identifies the driving factors in different spatial sub-divisions and suggests tailored development strategies and measures to provide more scientifically grounded policy insights. © 2025 Elsevier Ltd",About Sufficiency
