title,abstract,true_label
"""Georgetown ain't got a tree. We got the trees""-Amerindian Power & Participation in Guyana's Low Carbon Development Strategy","International bi-lateral agreements to support the conservation of rainforests to reduce greenhouse gas emissions are growing in prevalence. In 2009, the governments of Guyana and Norway established Guyana's Low Carbon Development Strategy (LCDS). We examine the extent to which the participation and inclusion of Guyana's indigenous population within the LCDS is being achieved. We conducted a single site case study, focussing on the experiences and perceptions from the Amerindian community of Chenapou. Based on 30 interviews, we find that a deficit of adequate dialogue and consultation has occurred in the six years since the LCDS was established. Moreover, key indigenous rights, inscribed at both a national and international level, have not been upheld with respect to the community of Chenapou. Our findings identify consistent shortcomings to achieve genuine participation and the distinct and reinforced marginalisation of Amerindian communities within the LCDS. A further critique is the failure of the government to act on previous research, indicating a weakness of not including indigenous groups in the Guyana-Norway bi-lateral agreement. We conclude that, if the government is to uphold the rights of Amerindian communities in Guyana, significant adjustments are needed. A more contextualised governance, decentralising power and offering genuine participation and inclusion, is required to support the engagement of marginal forest-dependent communities in the management of their natural resources.",Not About Sufficiency
"""Get us partnerships!""-a qualitative study of Angolan and Mozambican health academics' experiences with North/South partnerships","Background Sustainable Development Goal (SDG) 17 focuses on North/South partnerships for sustainable development. Literature on research partnerships and capacity -building often neglects how these processes are carried out in practice, their social impacts and participants' subjective experiences. Recognizing the increasingly global dimensions of Higher Education Institutions, the University Development and Innovation - Africa project (UDI-A) was designed to train lecturers and administrative staff of Angolan and Mozambican Universities through collaborations with European institutions, aiming at strengthening African academic and social landscapes through knowledge translation and dissemination. This paper examines potential outcomes of UDI-A on participants' academic pathways, investigating the conflict between different imaginaries of capacity-building and partnerships, focusing on how Angolan and Mozambican health sciences researchers experience international collaborations. Methods Semi-structured interviews were conducted with seven health academics, as well as a focus group discussion involving all participants. These were recorded, fully transcribed, anonymized and coded to identify common themes. A consent form was signed by all participants. Results and discussion UDI-A was considered innovative, fostering the improvement of pedagogical skills and increasing social entrepreneurship activities. Participants arrived with a specific institutional mandate and believed that the training received should be incorporated into institutional practices to ""modernize"" these specific Portuguese speaking African Universities and the health sector. The institutional mechanisms put in place to attain this goal, Centres for Academic Development and Innovation (""CADIs""), were considered potential research and development hubs and drivers of academic and societal transformation. Nevertheless, participants shared a sense of asymmetry (infrastructural, financial, in terms of access to information) between them and European trainers. Although this asymmetry was the underlying basis of this capacity-building project, they argued that UDI-A did not fully acknowledge their local contexts, compromising the prospective development of partnerships in the health field. Conclusions More attention should be devoted to understanding how participants experience capacity building processes, integrating the diversity of their aspirations and perceptions into subsequent phases of the project, requiring the development of methodological innovations to increase the impact of these programs.",Not About Sufficiency
1100-years history of transformation of the East European forest-steppe into arable land: Case study from Kursk region (Russia),"Large parts of the East European forest-steppe are covered by agricultural and pastoral landscapes with decreasing proportions of semi-natural meadow steppes and fragments of semi-natural woodland. Although numerous palynological records indicate that a total deforestation occurred in the last 500 years, the details of the transformation from natural vegetation into an agrarian landscape are still lacking as well as an evaluation of the political role in this process. This study focuses on the vegetation and fire history at the northern edge of the forest-steppe in the Kursk region (Russia) and aim to reconstruct the transformation process in its historical context. New pollen, non-pollen palynomorphs and charcoal records with decennial to centennial resolution obtained from the Seim River region enable a comprehensive reconstruction of the local and regional landscape history over the last 1100 years. The palynological records provide unique insights into the heterogeneous vegetation cover of microregions and evidence spatial asynchronous deforestation and crop field creation. The findings highlight a crucial role of political systems on the formation of agro-pastoral landscapes with small remaining forest patches of today. The heterogeneity of the natural vegetation distribution before major deforestation as well as the duration of human impact should be considered in ecosystem restoration projects.",Not About Sufficiency
A bibliometric analysis of the hydrogen production from dark fermentation,"Hydrogen energy plays an important role in solving the environmental problems caused by the fuel crisis and greenhouse gas emissions. However, hydrogen application on an industrial scale still requires technological advances, especially in choosing the best technological route for the recovery of renewable and cost-effective hydrogen. Therefore, this bibliometric review evaluated the research progress, trends, updates, and hotspots on hydrogen production from dark fermentation. The Web of Science(C) database was used to select the documents from 2000 to 2021, and the VOSviewer(C) and Bibliometrix softwares were used to carry out the bibliometric investigation. The results demonstrated that 3071 documents (2755 articles and 316 reviews) studied the hydrogen production from dark fermentation over the last 21 years. The number of publications exponentially increased in the last five years, which can be associated with the demand for new technologies to produce clean energy sources and decrease the environmental impacts caused by petroleum-based fuel. Keyword analysis revealed that the studies focused on the operational parameters, process optimization, pretreatment, and microbial community, aiming to increase the hydrogen yield during dark fermentation. Finally, this comprehensive review provides future directions for applying dark fermentation to produce hydrogen as a sustainable and renewable fuel in a biorefiney concept. (C) 2022 Hydrogen Energy Publications LLC. Published by Elsevier Ltd. All rights reserved.",Not About Sufficiency
A call to arms for cell-cell interactions between bacteria in the plant microbiome,"Next-generation sequencing and computational biology has unravelled the different bacterial groups populating plant microbiomes. In addition, microbiologists have discovered many different mechanisms of cell-cell interactions that take place between bacteria. Bacteria use four prevalent mechanisms for intercellular interactions; however, their pertinent role in the formation and maintenance of plant microbiomes is currently unknown. We argue that it is overdue to speed up research on the biotic cell-cell interactions that take place between bacteria in plant microbiomes. This research will have a major impact on both fundamental sciences and translational agriculture via the development of bacterial prebiotic compounds as well probiotics competence, resulting in a more sustainable agriculture of economically important crops.",Not About Sufficiency
A Caribbean New Urban Agenda post-Habitat III: Closing the gaps,"Urbanisation, climate change and natural hazards present serious challenges for the Caribbean which Habitat III brought into focus. This paper critically examines problems associated with these complex challenges, to propose a relevant Caribbean specific New Urban Agenda and suggest implementation mechanisms which are essential to forge ahead. It reviews urban issues for fifteen countries that constitute the Caribbean Community (CARICOM). These problems are investigated from the perspective of four pillars of economic, social and environmental sustainability, and governance. The paper reveals that with the application of these main components and related thematic elements, many countries in this grouping are underperforming in achieving the sustainable development goal of safe, resilient and sustainable urban settlements. The main conclusion drawn is that countries of the CARICOM Caribbean should not adopt an imported blueprint to resolve critical urban issues. This is an opportune time for crafting a relevant indigenous New Urban Agenda for CARICOM Caribbean countries and finding the right implementation mechanisms to be at the frontline of change. (C) 2017 Elsevier Ltd. All rights reserved.",Not About Sufficiency
A case study of the opportunities and trade-offs associated with deproclamation of a protected area following a land claim in South Africa,"Reconciling conservation and social justice imperatives is a major challenge facing many postcolonial states worldwide. Where historically disenfranchised communities have laid legal claim to protected areas, the typical resolution has been collaborative management agreements between the state and claimant communities. The real outcomes of such strategies for people and ecosystems have been seriously questioned, although alternative approaches are seldom explored. Here, we reflect on one such alternative that was pursued in a case in South Africa, where the land was handed back to the community and a replacement protected area created. Our objective was to explore the opportunities and trade-offs associated with this approach for communities and conservation agencies alike, and to compare these to typical collaborative management outcomes. Methods included key informant interviews, focus group discussions and household surveys. We find that, surprisingly, this approach created more benefits for the conservation agency than for claimant communities. Indeed, the community experiences bore a striking resemblance to those experienced in collaborative management settings: intra-community conflict, confusion over leadership and serious questions about the boundaries of the ""community"". Processes aimed at redressing past injustice in disputes over conservation land, regardless of the approach adopted, must bring with them a strong commitment to building institutional and leadership capacities within communities, and pay serious attention to the ways in which equity and social justice can be fostered after the settlement of a land claim. Settlement agreements are frequently treated as the final step towards social justice, but are in fact just the beginning.",Not About Sufficiency
A Compact Overview on Li-Ion Batteries Characteristics and Battery Management Systems Integration for Automotive Applications,"The transition to sustainable mobility is progressing rapidly, with electric vehicles (EVs) playing a pivotal role in lowering greenhouse gas emissions and reducing the reliance on fossil fuels. At the core of this transformation are lithium-ion batteries (Li-ion), valued for their high energy density and long cycle life. However, the increasing demand for EVs necessitates continuous improvements in battery technology and the integration of advanced systems to ensure safe, efficient, and reliable performance. This review offers a clear and comprehensive summary of the latest innovations in Li-ion battery chemistry, battery pack design, and Battery Management System (BMS) functionalities. Unlike other reviews, this work emphasizes practical considerations, such as voltage, power, size, and weight for commercial vehicles. It also addresses integrated safety solutions, including disconnection systems and pre-charge circuits, which are vital for enhancing battery safety and lifespan. Additionally, it explores key BMS functions, like cell monitoring, balancing, and thermal management, all crucial for maximizing battery performance and ensuring safe operation. By consolidating current research and industry practices, this article provides essential information in a concise yet accessible format. It enables researchers to quickly gain a solid understanding of the field, distinguishing itself from reviews that focus on narrower aspects of battery technology. Its holistic approach delivers valuable insights for improving EV charging systems' safety and performance, making it a highly useful resource for researchers and industry professionals alike.",Not About Sufficiency
A comparison of voluntary and mandated climate change-related disclosure,"This study draws on legitimacy theory to investigate the relationship between mandatory disclosure of greenhouse gas emissions by companies that are subject to specific environmental legislation (the Australian National Greenhouse Energy Reporting Act 2007) and the level of voluntary environmental disclosures. Using a sample of 535 observations, we find that i) Overall, legislation-affected companies increase their disclosures compared with non-affected companies, ii) As many companies reduce their disclosures as increase them, iii) there is an increase in the level of emissions volume disclosures in legislation-affected companies compared with the same company pre-implementation, iv) legislation-affected higher emitters have higher levels of voluntary disclosures. These findings are consistent with legitimacy theory, which predicts differential disclosures in circumstances to avoid scrutiny. Crown Copyright (C) 2019 Published by Elsevier Ltd. All rights reserved.",Not About Sufficiency
A comprehensive review of biomass based thermochemical conversion technologies integrated with CO2 capture and utilisation within BECCS networks,"The future of the global environment is at threat due to global warming and climate change primarily driven by greenhouse gas emissions. Bioenergy with carbon dioxide capture and storage/utilisation (BECCS/U) through its CO2 negative emission capacity is considered a principal component of global mitigation strategies as agreed in the Paris climate change agreement. In this study, the current global status and efforts to implement BECCS systems are comprehensively reviewed. The potential for thermochemical conversion processes (combustion, gasification, pyrolysis, and liquefaction) to manifest within BECCS systems is analysed, in addition to their integration potential with carbon dioxide capture methods. Outcomes suggest that gasification and combustion processes when integrated with CO2 capture and storage (CCS), within combine heat and power (CHP) configurations, biomass integrated gasification combine cycle (BIGCC) and chemical looping cycle (CLC) are mature technologies. Furthermore, this review indicates that pyrolysis and liquefaction process are commercial and lab-scale respectively. When integrated within BECCS systems, pyrolysis systems are at the pilot level and liquefaction processes are at lab scale. Moreover, a comprehensive discussion on the negative emission potential from various BECCS configurations is provided, highlighting their role in advancing bio-refineries through waste management and conversion to value-added products such as biochar, ethanol, bio diesel etc. The pyrolysis process has CO2 mitigation potential of 2.2 GtCO(2)/year by 2020-2050. Finally, an insight into the commercial barriers and future perspectives of BECCS technologies, role of international supply chains therein, and the need for effective stakeholder management to facilitate BECCS systems within global trade.",Not About Sufficiency
