title,abstract,true_label
"Author Correction: Pan-cancer analysis of whole genomes (Nature, (2020), 578, 7793, (82-93), 10.1038/s41586-020-1969-6)","In the published version of this paper, the list of members of the Pan-Cancer Analysis of Whole Genomes (PCAWG) Consortium and their affiliations contained minor errors in the affiliations. The original Article has been corrected to include the corrected list. © The Author(s) 2023.",Not About Sufficiency
Particle emissions from rail traffic: A literature review,"Particle emissions are a drawback of rail transport. This work is a comprehensive presentation of recent research into particle emissions from rail vehicles. Both exhaust and nonexhaust particle emissions are considered when examining particle characteristics such as PM10, and PM2.5 concentration levels, size, morphology, composition, and adverse health effects, current legislation, and available and proposed solutions for reducing such emissions. High concentration levels in enclosed rail traffic environments are reported and some toxic effects of the particles. The authors find that only a few limited studies have examined the adverse health effects of nonexhaust particle emissions and that no relevant legislation exists. Thus further research in this area is warranted. © Taylor & Francis Group, LLC.",Not About Sufficiency
A systematic literature review on the integration of Industry 4.0 technologies in sustainability improvement of transportation construction projects: state-of-the-art and future directions,"Purpose: This systematic literature review aims to investigate the application and integration of Industry 4.0 (I4.0) technologies in transportation infrastructure construction projects focusing on sustainability pillars. Design/methodology/approach: The study employs a systematic literature review approach, combining qualitative review and quantitative analysis of 142 academic articles published between 2011 and March 2023. Findings: The findings reveal the dominance of Building Information Modelling (BIM) as a central tool for sustainability assessment, while other technologies such as blockchain and autonomous robotics have received limited attention. The adoption of I4.0 technologies, including Internet of Things (IoT) sensors, Augmented Reality (AR), and Big Data, has been prevalent for data-driven analyses, while Unmanned Aerial Vehicle (UAVs) and 3D printing are mainly being integrated either with BIM or in synergy with Artificial Intelligence (AI). We pinpoint critical challenges including high adoption costs, technical barriers, lack of interoperability, and the absence of standardized sustainability benchmarks. Originality/value: This research distinguishes itself by not only mapping the current integration of I4.0 technologies but also by advocating for standardization and a synergistic human-technology collaborative approach. It offers tailored strategic pathways for diverse types of transportation infrastructure and different project phases, aiming to significantly enhance operational efficiency and sustainability. The study sets a new agenda for leveraging cutting-edge technologies to meet ambitious future sustainability and efficiency goals, making a compelling case for rethinking how these technologies are applied in the construction sector. © 2024, Emerald Publishing Limited.",Not About Sufficiency
Socio-economic impacts of solar energy technologies for sustainable green energy: a review,"Although fossil fuels leave environmentally hazardous gases like carbon dioxide, to date, global energy production is mostly dependent on these sources. Depletion of fossil resource and changes in the price make it a major concert for the sustainable use in future and utilization of energy resources which is environmentally safe and sustainable. Therefore, an increase in the use natural sustainable energy like solar power observed to be increased recently. Effective use of solar energy depends on the proper knowledge on its use and techniques. This article reviews different solar storage technologies to obtain green sustainable energy generation. We discussed the variation, mechanism, effectiveness, and worth of greenhouse for solar heat storage and concentrated solar power technologies (CSP). The multi-level evaluation method establishes an evaluation index system, adopts the expert scoring method to determine the weight and score of the index, and combines qualitative and quantitative to obtain a comprehensive evaluation value. There is the evaluation of the socio-economic impact of the green power station construction. The detail of for socio-economic environmental factor for on large-scale operation applications dependence on the use and conditions both solar storage and technologies have advantage and disadvantages. Finally, directions for significant of waste to energy for safe environment are presented. © 2022, The Author(s), under exclusive licence to Springer Nature B.V.",Not About Sufficiency
"The effect of board of directors attributes, environmental committee and institutional ownership on carbon disclosure quality","This study assesses the effect of the board of directors' attributes, environmental committee (EC), and institutional ownership (IO) on carbon disclosure quality (CDQ) from the perspectives of legitimacy and agency theories in Malaysia. This study collects and analyzes data based on 1000 observations of firms from carbon-intensive industries from 2015 to 2019. The effect of the board of directors' attributes, EC, and IO on the CDQ was observed using a panel data regression model. The study revealed a significant positive relationship between board independence, board size, female representation, EC, IO, and CDQ. These findings suggest that carbon disclosure awareness is rising in Malaysia as firms have gradually integrated corporate governance (CG) best practices into their business strategies. To the best of our knowledge, this is the first study to examine the factors that influence CDQ in Malaysian businesses. This study identified firms with a higher CDQ using a new global reporting initiative-based carbon reporting index. This expands the literature on carbon disclosures. This study focuses on carbon-intensive industries, which might not reflect Malaysia's current CDQ situation. Thus, future research should focus on other sectors to fully grasp the current state of the CDQ in Malaysia and offer new perspectives on emerging markets. The findings may benefit a vast group of regulatory bodies in assessing Malaysian firms' responses to local and international carbon guidelines. © 2024 ERP Environment and John Wiley & Sons Ltd.",Not About Sufficiency
Does the EU sustainable finance disclosure regulation mitigate greenwashing?,"This paper examines the impact of the Sustainable Finance Disclosure Regulation (SFDR) on greenwashing by equity mutual funds in the EU. We propose a unique measure called the Greenwashing Index, based on a fund's decarbonisation effort relative to its flows, to quantify the level of greenwashing. Using a difference-in-differences analysis, we find that following the enactment of the SFDR, Article 9 funds experience a lower level in their greenwashing index relative to a control group of funds. However, for Article 8 funds we do not observe any significant reduction in the level of their greenwashing index relative to the same control group. We also use a regression discontinuity design (RDD) and find that the decline in the greenwashing index is more concentrated in Article 9 than in Article 8 funds which indicates a different effect of the SFDR on greenwashing behaviour between those funds. Our findings also show that Article 9 funds decarbonise their portfolios by primarily following a portfolio tilting strategy to overweight low carbon-intensive holdings following the introduction of the SFDR. © 2025 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",Not About Sufficiency
One-dimensional titanate nanotube materials: heterogeneous solid catalysts for sustainable synthesis of biofuel precursors/value-added chemicals—a review,"One-dimensional (1D) titanate nanotubes materials (protonated titanate nanotube (HTNT) and sodium titanate nanotube (NaTNT)) have been reported as low-cost and efficient catalytic materials in chemical syntheses for the production of biofuel precursors with interesting catalytic performance exhibited, even better than some commonly used zeolites, H-MOR, H-β, SO42−/Al2O3, and H-ZSM-5 solid catalysts with environmental benign in focus when compared with homogeneous catalytic materials. This mini-review expressly revealed the significance and potential of using HTNT and NaTNT as sustainable and environmentally benign solid catalysts/supports in various chemical reactions. The critical assessment of biomass valorization and titanate nanostructured materials as catalysts/supports via Green Chemistry approach, #7 (use of renewable feedstocks), #9 (use of catalyst against stoichiometry) and United Nations (UN) Sustainable Development Goals (SDGs), #7 (affordable and clean energy; ensure access to inexpensive, reliable, sustainable, and new energy), is presented as integrated pathways to meet environmental benign technology toward sustainability. Hence, this work follows in the pattern of recent formulated features reported for solid catalysts—‘PYSSVR’ concept, which means P–production cost, Y–yield, S–stability, S–selectivity, V–versatility, and R–reusability. Graphical Abstract: [Figure not available: see fulltext.] © 2021, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",Not About Sufficiency
Climate-change disruptions to migration systems,"Climate change represents a major potential drag on progress towards sustainable development, not least in its disruption to processes of the movement of people. Principal threats from climate change include increasing the involuntary displacement of people from the impacts of extreme weather events, through to making urban settlements more hazardous for new migrant populations. This chapter illustrates these risks, focusing on how climate-change risks limit the choice and agency of those experiencing the impacts, both in source and destination areas. Collective responses to climate change, such as recognising displaced populations or planning for relocation of settlements, currently have limited recognition of the social dynamics of migration and its role in sustainable development. © 2020 selection and editorial matter, Tanja Bastia and Ronald Skeldon; individual chapters, the contributors.",Not About Sufficiency
Identifying the capacity needs of built environment professionals to deliver environmentally sustainable buildings: a scientometric review,"Purpose: The purpose of this study is to identify the capacity needs of building professionals to deliver environmentally sustainable buildings (ESBs) globally, from a unique systems approach. Through a review of extant literature, this study contributes to knowledge of the global delivery of ESBs by identifying research trends and gaps that can be tackled in future research, and current hotspots in capacity building (CB) research within the built environment (BE). The adopted systems approach to CB postulates that the construction industry is systemized in nature, and thus, CB solutions within the industry should be approached from a systems approach. Design/methodology/approach: A literature search was conducted using the Scopus search engine, augmented by Google Scholar and Web of Science, to produce 54 relevant articles for analysis. The scientometric analysis was undertaken with the use of VOSViewer to better understand the broad literature on CB in the construction industry which would not have been possible with traditional data analysis. The content analysis allowed, for a systematic review of selected articles, to reveal key themes in this study. Findings: Through a content analysis, four levels of CB were identified within the construction industry; individual level, organizational level, industry level and state level. Nine sub-capacities were subsumed under the four identified levels adopted from Potter and Brough (2004), including but not limited to Performance capacity, Workload capacity, Supervisory capacity, Industry Role capacity and Systems capacity. Under each sub-capacity, key questions were posed to aid identify the capacity needs of BE professionals. A framework for identifying capacity needs in the BE is proposed. Practical implications: The findings of this study serve as a useful reference for practitioners and policymakers to assess their level of commitment to CB efforts for ESB delivery. The findings of this study have revealed that building the capacities of BE professionals to deliver ESBs should be addressed as part of a broader framework, interdependent on the other levels of CB in the systemic construction industry. Originality/value: As a review study identifying capacity needs for BE professionals to deliver ESBs, this study enhances knowledge of CB within the construction industry. © 2022, Emerald Publishing Limited.",Not About Sufficiency
"Synthesis, antifungal evaluation and molecular docking studies of some tetrazole derivatives","A facile and simple protocol for the [3+2] cycloaddition of alkyl nitriles (RCN) with sodium azide (NaN3) in the presence of copper bis(diacetylcurcumin) 1,2-diamin-obenzene Schiff base complex, SiO2-[Cu-BDACDABSBC] as a heterogeneous catalyst in the presence of ascorbic acid and a solution of water/i-PrOH (50:50, V/V) media at reflux condition is described. The supported catalyst was prepared by immobilization of a copper bis(diacetylcurcumin) 1,2-diaminobenzene Schiff base complex [Cu-BDACDABSBC] on silica gel. The complex has high selectivity, catalytic activity, and recyclability. The significant features of this procedure are high yields, broad substrate scope and simple and efficient work-up procedure. According to this synthetic methodology, excellent yields of 5-substituted 1H-tetrazoles having bioactive N-heterocyclic cores were synthesized. The in vitro antifungal activities of title compounds were screened against various pathogenic fungal strains, such as Candida species involving C. albicans, C. glabrata, C. krusei, C. parapsilosis as well as filamentous fungi like Aspergillus species consisting of A. fumigatus and A. flavus. The molecular docking analysis is discussed for one most potent compound against fungi. The docking study determined a remarkable interaction between the most potent compounds and the active site of Mycobacterium P450DM. © 2019 Slovensko Kemijsko Drustvo. All rights reserved.",Not About Sufficiency
Neo-liberal conservation analysing carbon forestry and its challenges in India,"Carbon forestry projects such as REDD+, A/R CDM and the Green India Mission are based on the neo-liberal principles of privatisation, commoditisation, and marketisation. These market-oriented tools abstract forests from their sociocultural and ecological contexts and reduce their value for carbon forestry. These projects promote plantations of fast-growing species and undermine local knowledge and institutions. The available empirical evidence on the carbon forestry projects indicates that these have an impact on the rights and livelihoods of forest-dependent communities adversely. Hence, it is imperative to critically analyse them before scaling them up. © 2019 Economic and Political Weekly. All rights reserved.",Not About Sufficiency
A Comprehensive Review of Life Cycle Assessment (LCA) Studies in Roofing Industry: Current Trends and Future Directions,"Highlights: Main findings: There is significant variability in LCA methods and impact categories in roofing studies. Only a few studies have examined roofing components at the urban scale. Implications of the main finding: Standardized LCA methods are needed for consistent assessments in the roofing industry. More urban-scale LCA studies are needed to better understand the environmental impact of roofing materials. The building sector is crucial in keeping the environment healthy, mainly because of its energy and material usage. Roofs are one of the most important components to consider, as they not only shield the building from the elements but also have a big impact on the environment. The paper provides a state-of-the-art review of the life cycle assessment (LCA) application in the roofing industry. The review examines three main focus areas: (1) LCA of different roofing materials, (2) LCA of roofing systems, and (3) whole-building LCA. Key takeaways from the literature review demonstrate that there is significant variability in LCA methods and impact categories assessed across roofing studies. Only a few studies have explored the complete urban scale in LCA assessments of roofing components. Future research can include utilizing the potential of LCA at urban scales, which can offer a full understanding of the environmental impacts associated with roofing materials in urban settings. © 2024 by the authors.",Not About Sufficiency
Environmental Kuznets Curve hypothesis from lens of economic complexity index for BRICS: Evidence from second generation panel analysis,"The present study contributes to the ongoing discussion on environmental sustainability, energy efficiency for the case of Brazil, Russia, India, China, and South Africa economies by investigating the dynamic connection regarding foreign direct investment, economic complexity index, renewable energy, natural resources, urbanization, and CO2 emission for annual frequency data from 1990 to 2019. The present study employs robust econometric techniques including Augmented Mean Group with Fully Modified-Ordinary Least Squares estimators as estimation techniques. Empirical outcome shows both inverted U-Shaped and N-Shaped EKC relationship between ECI and CO2 emission. The empirical findings also lend support to the Pollution Haven Hypothesis, which suggest that foreign direct investment influx is a contributing factor to environmental degradation in Brazil, Russia, India, China, and South Africa economies. Furthermore, renewable energy and the interaction between economic complexity index and urbanization is found to have adverse impact on emission while natural resources and urbanization have positive impact on the environment. Finally, the results from the Dumitrecu and Hurlin causality reveals a bi-directional causality between economic complexity and CO2 emission. Similar causality is found between economic complexity index and urbanization and CO2 emission while a one-way causality is seen running from foreign direct investment to CO2 emission over study period. These findings encourage authorities of the investigated countries to offer a broader energy strategy on alternative energies i.e., renewables improve Brazil, Russia, India, China, and South Africa environmental quality. Furthermore, emphasis on economic strategies that foster a healthier manufacturing activity to engender environmental sustainability without compromise for economic prosperity should be pursued among the examined economies. © 2022 Elsevier Ltd",Not About Sufficiency
Protected areas and poverty reduction: The role of ecotourism livelihood in local communities in Ghana,"Ecotourism has become a sustainable alternative to degrading livelihoods around protected areas in developing countries. Its contributions to poverty reduction are captured in terms of employment and income generation. As a result, studies assessing ecotourism’s contributions have traditionally focused on the accumulation and distribution of the economic benefits. However, little attention has been given to the non-economic aspects relevant to poverty reduction. Using the livelihood approach, this article aims at assessing ecotourism impacts on the livelihoods of households. The results indicate that ecotourism contributes to reducing poverty, however, this can be enhanced by focusing on the non-economic aspects and minimizing its negative impacts on household livelihood. © 2019, © 2019 Community Development Society.",Not About Sufficiency
